truth_table,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,classical_width,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,construction_upper_k_plus_1,prime_cover_slack,cohort,baseline_lower_k_plus_1,baseline_upper_k_plus_1,baseline_covered,structure_augmented_lower_k_plus_1,structure_augmented_upper_k_plus_1,structure_augmented_covered
3371665271,5.4,15.0,2.875,4.0,3.5,2.5,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,2.0,3.0,31,12,5.4,31.0,17.729191182301292,25.6,0.0,0.0,0.0,18.0,189.0,18.0,13.270808817698708,upper_tail,14.987394397357898,19.187828306347924,False,15.173087181017777,19.109903127249765,False
2846074799,4.4089068825910935,12.0,2.6875,5.0,2.769230769230769,2.6315789473684212,1.0,0.0,1.0,1.0,2.0,2.0,3.0,6.0,4.0,4.0,28,12,4.4089068825910935,28.0,15.449480004928281,23.591093117408906,0.0,0.0,0.0,15.0,189.0,15.0,12.550519995071719,upper_tail,12.669999470131096,16.896053405047965,True,12.91394929526782,16.818082593778907,True
2415463345,5.142857142857143,15.0,3.125,4.0,3.2857142857142856,3.0,1.0,0.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,30,12,5.142857142857143,30.0,18.025957712387218,24.857142857142858,0.0,0.0,0.0,18.0,189.0,18.0,11.974042287612782,upper_tail,15.281945870964584,19.462667676313252,False,15.483731411309707,19.41979276945448,False
4205983551,4.16017316017316,12.0,2.65625,4.0,3.272727272727273,2.3333333333333335,1.0,0.0,1.0,3.0,3.0,4.0,3.0,6.0,3.0,3.0,27,12,4.16017316017316,27.0,15.304062680561023,22.83982683982684,0.0,0.0,0.0,15.0,189.0,15.0,11.695937319438977,upper_tail,12.735539639841047,16.762601605837727,True,12.818983193022076,16.725042626142315,True
3346517708,4.266666666666667,11.0,2.75,4.0,3.25,2.45,0.0,0.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,0.0,25,12,4.266666666666667,25.0,13.34180402889228,20.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,11.65819597110772,upper_tail,10.648751129504443,14.729095798832178,True,10.726566291586384,14.702334658343252,True
859189964,5.368627450980392,13.0,2.84375,4.0,2.6470588235294117,3.066666666666667,0.0,1.0,1.0,3.0,6.0,7.0,5.0,5.0,4.0,1.0,27,12,5.368627450980392,27.0,15.34822613288572,21.63137254901961,0.0,0.0,0.0,14.0,189.0,14.0,11.65177386711428,upper_tail,12.64938770961049,16.774651513497872,True,12.673656715229637,16.737538599541796,True
4277242000,4.0,15.0,2.84375,4.0,3.0625,2.625,0.0,0.0,2.0,5.0,7.0,3.0,4.0,1.0,4.0,5.0,28,12,4.0,28.0,16.382301310790602,24.0,0.0,0.0,0.0,16.0,189.0,16.0,11.617698689209398,upper_tail,13.795463874687197,17.895528193940827,False,13.922458372022287,17.777582322706653,False
520946967,3.5714285714285716,13.0,2.5,4.0,2.388888888888889,2.642857142857143,1.0,1.0,0.0,1.0,7.0,2.0,3.0,2.0,1.0,3.0,27,12,3.5714285714285716,27.0,15.54050053228066,23.428571428571427,0.0,0.0,0.0,18.0,189.0,18.0,11.45949946771934,upper_tail,12.664744727385111,17.00625923710996,True,13.056702191896342,16.9505822281871,False
3743342384,4.266666666666667,11.0,2.71875,4.0,3.3333333333333335,2.35,0.0,0.0,2.0,2.0,4.0,6.0,6.0,4.0,3.0,0.0,25,12,4.266666666666667,25.0,13.615836784441285,20.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,11.384163215558715,upper_tail,10.973452754720082,15.02271107258059,True,11.019112477109893,14.99014113768212,True
1462766328,5.142857142857143,12.0,3.125,4.0,3.0,3.2857142857142856,0.0,1.0,1.0,1.0,4.0,6.0,6.0,4.0,3.0,0.0,26,12,5.142857142857143,26.0,14.631674365037902,20.857142857142858,0.0,0.0,0.0,16.0,189.0,16.0,11.368325634962098,upper_tail,11.837174490249662,16.049944396238974,True,11.983203589098505,16.001845407770045,True
4002019737,5.5425101214574894,13.0,2.9375,4.0,3.3846153846153846,2.6315789473684212,1.0,0.0,2.0,4.0,2.0,1.0,5.0,4.0,3.0,5.0,26,12,5.5425101214574894,26.0,14.721612093117672,20.45748987854251,0.0,0.0,0.0,16.0,189.0,16.0,11.278387906882328,upper_tail,12.106912795363169,16.170309057254286,True,12.226833779129525,16.101549182812533,True
4048822036,4.803921568627451,13.0,2.84375,4.0,2.588235294117647,3.1333333333333333,0.0,1.0,3.0,3.0,4.0,6.0,5.0,8.0,5.0,2.0,27,12,4.803921568627451,27.0,15.889128607360881,22.19607843137255,0.0,0.0,0.0,18.0,189.0,18.0,11.110871392639119,upper_tail,13.149936781579598,17.320248967187503,False,13.101230255263257,17.2748530578694,False
1381003818,4.266666666666667,11.0,2.8125,4.0,2.6,3.1666666666666665,0.0,1.0,1.0,2.0,3.0,5.0,6.0,4.0,2.0,0.0,24,12,4.266666666666667,24.0,12.91045249060575,19.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,11.08954750939425,upper_tail,10.100283571719016,14.332917879122274,True,10.317964679846128,14.281664335829468,True
4114057898,4.587301587301587,12.0,2.9375,4.0,2.857142857142857,3.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,6.0,4.0,0.0,26,12,4.587301587301587,26.0,14.924335633966965,21.41269841269841,0.0,0.0,0.0,15.0,189.0,15.0,11.075664366033035,upper_tail,12.161656451565648,16.326697483239784,True,12.299826684276567,16.277550616149053,True
2776925678,5.368627450980392,14.0,3.0625,4.0,3.0588235294117645,3.066666666666667,0.0,1.0,3.0,2.0,4.0,6.0,4.0,8.0,4.0,4.0,27,12,5.368627450980392,27.0,16.006969197630912,21.63137254901961,0.0,0.0,0.0,16.0,189.0,16.0,10.993030802369088,upper_tail,13.167592230314108,17.476977660586012,False,13.21081385506954,17.40849289612736,False
682114238,4.270588235294118,12.0,2.75,3.0,2.5294117647058822,3.0,0.0,1.0,3.0,3.0,6.0,4.0,3.0,4.0,4.0,5.0,25,12,4.270588235294118,25.0,14.174634092479451,20.729411764705883,0.0,0.0,0.0,18.0,189.0,18.0,10.825365907520549,upper_tail,11.636370289151294,15.672018613608348,True,11.722741056833232,15.59810404440904,True
2306969559,4.515625,12.0,3.0625,4.0,3.125,3.0,1.0,0.0,0.0,1.0,6.0,1.0,4.0,5.0,2.0,3.0,25,12,4.515625,25.0,14.17722399811945,20.484375,0.0,0.0,0.0,16.0,189.0,16.0,10.82277600188055,upper_tail,11.364336397876402,15.646902573257297,True,11.546548916229114,15.55807525846266,True
4054947735,5.5425101214574894,12.0,2.90625,4.0,3.3846153846153846,2.5789473684210527,1.0,0.0,0.0,2.0,5.0,2.0,2.0,6.0,3.0,4.0,25,12,5.5425101214574894,25.0,14.29363219731035,19.45748987854251,0.0,0.0,0.0,17.0,189.0,17.0,10.70636780268965,upper_tail,11.506247104091475,15.75788699520498,True,11.763531755577379,15.673257763853474,True
3452458272,3.8906882591093117,12.0,3.0625,5.0,3.0,3.1538461538461537,0.0,1.0,1.0,4.0,2.0,4.0,6.0,6.0,2.0,3.0,24,12,3.8906882591093117,24.0,13.306737833897444,20.10931174089069,0.0,0.0,0.0,17.0,189.0,17.0,10.693262166102556,upper_tail,10.62215386493415,14.766101742818053,True,10.66762579809497,14.732864935162281,True
