language,cost,new_functions,cumulative_functions,seconds
NAND,0,5,5,0.0
NAND,1,15,20,1.4700002793688327e-05
NAND,2,51,71,2.6100002287421376e-05
NAND,3,225,296,0.00012260000221431255
NAND,4,905,1201,0.0004650999981095083
NAND,5,3601,4802,0.0025234999993699603
NAND,6,12680,17482,0.010470200002600905
NAND,7,44006,61488,0.051552700002503116
NAND,8,135435,196923,0.2066054000024451
NAND,9,415505,612428,0.9893977000028826
NAND,10,1075343,1687771,3.682426500003203
NAND,11,2746952,4434723,16.143136099999538
NOR,0,5,5,0.0
NOR,1,15,20,2.2000000171829015e-05
NOR,2,51,71,4.209999315207824e-05
NOR,3,225,296,0.00021769999875687063
NOR,4,905,1201,0.000817699998151511
NOR,5,3601,4802,0.0049736000000848435
NOR,6,12680,17482,0.021810899997944944
NOR,7,44006,61488,0.08979330000147456
NOR,8,135435,196923,0.21900409999943804
NOR,9,415505,612428,1.0576589000047534
NOR,10,1075343,1687771,3.9386015000054613
NOR,11,2746952,4434723,16.756957099998544
AND_OR_NOT,0,5,5,0.0
AND_OR_NOT,1,25,30,3.060000017285347e-05
AND_OR_NOT,2,142,172,8.679999882588163e-05
AND_OR_NOT,3,700,872,0.0008229999948525801
AND_OR_NOT,4,2962,3834,0.0042574000035529025
AND_OR_NOT,5,11772,15606,0.035056800006714184
AND_OR_NOT,6,44810,60416,0.10400899999513058
AND_OR_NOT,7,154044,214460,0.4944171000024653
AND_OR_NOT,8,478249,692709,2.121046000000206
AND_OR_NOT,9,1419190,2111899,12.121787699994456
AND_OR_NOT,10,3856557,5968456,48.19580069999938
AND_OR_NOT,11,9663082,15631538,226.61814199999935
