feature_addition,descriptor_classes,language,ceiling_r2,ceiling_gain
current_descriptor,675,NAND,0.893444531623862,0.0
current_descriptor,675,NOR,0.893444531623862,0.0
current_descriptor,675,AND_OR_NOT,0.9306219267955016,0.0
fourier_signed_shape,3702,NAND,0.9913407796216452,0.09789624799778329
fourier_signed_shape,3702,NOR,0.9913407796216452,0.09789624799778329
fourier_signed_shape,3702,AND_OR_NOT,0.990344856772475,0.05972292997697337
fourier_absolute_shape,689,NAND,0.8944066672214569,0.0009621355975949486
fourier_absolute_shape,689,NOR,0.8944066672214569,0.0009621355975949486
fourier_absolute_shape,689,AND_OR_NOT,0.9325735679774261,0.0019516411819244794
fourier_l1_by_degree,689,NAND,0.8944066672214569,0.0009621355975949486
fourier_l1_by_degree,689,NOR,0.8944066672214569,0.0009621355975949486
fourier_l1_by_degree,689,AND_OR_NOT,0.9325735679774261,0.0019516411819244794
fourier_sign_profile,3552,NAND,0.9878294342864973,0.09438490266263533
fourier_sign_profile,3552,NOR,0.9878294342864973,0.09438490266263533
fourier_sign_profile,3552,AND_OR_NOT,0.9877377883032178,0.05711586150771619
anf_degree_profile,3794,NAND,0.9943111110148435,0.10086657939098154
anf_degree_profile,3794,NOR,0.9929083712650788,0.09946383964121686
anf_degree_profile,3794,AND_OR_NOT,0.9947319237138458,0.06410999691834418
local_sensitivity_profile,770,NAND,0.9051045060630647,0.011659974439202747
local_sensitivity_profile,770,NOR,0.9051045060630647,0.011659974439202747
local_sensitivity_profile,770,AND_OR_NOT,0.9467146669503281,0.016092740154826535
constant_restriction_profile,758,NAND,0.9037872644999712,0.010342732876109206
constant_restriction_profile,758,NOR,0.9037872644999712,0.010342732876109206
constant_restriction_profile,758,AND_OR_NOT,0.9458089354045431,0.015187008609041541
certificate_profile,771,NAND,0.9058718166954146,0.012427285071552663
certificate_profile,771,NOR,0.9058718166954146,0.012427285071552663
certificate_profile,771,AND_OR_NOT,0.9480137062393201,0.017391779443818534
all_candidates,3958,NAND,0.999608851415931,0.10616431979206908
all_candidates,3958,NOR,0.9995728837300396,0.10612835210617766
all_candidates,3958,AND_OR_NOT,0.9999460606523602,0.06932413385685865
