language,contact,truth_table,truth_table_hex,phase_permutation_orbit_hex,anf,minimum_gates,khrapchenko_product,decision_tree_leaves,lower,upper,active_upper_source,cover_cost_k_plus_1,cover_construction,tied_cover_constructions,cover_cubes_01_dash
NAND,upper,0,0x0000,0x0000,0,5,0.0,1,0.0,6.0,empirical decision-tree envelope,,,,
NAND,upper,1,0x0001,0x0001,1 + x0 + x1 + x0*x1 + x2 + x0*x2 + x1*x2 + x0*x1*x2 + x3 + x0*x3 + x1*x3 + x0*x1*x3 + x2*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,14,1.0666666666666669,5,1.0666666666666669,15.0,empirical decision-tree envelope,,,,
NAND,lower,43690,0xaaaa,0x00ff,x0,0,1.0,2,1.0,8.25,empirical decision-tree envelope,,,,
NAND,lower,52428,0xcccc,0x00ff,x1,0,1.0,2,1.0,8.25,empirical decision-tree envelope,,,,
NAND,lower,61680,0xf0f0,0x00ff,x2,0,1.0,2,1.0,8.25,empirical decision-tree envelope,,,,
NAND,lower,65280,0xff00,0x00ff,x3,0,1.0,2,1.0,8.25,empirical decision-tree envelope,,,,
NOR,upper,32767,0x7fff,0x7fff,1 + x0*x1*x2*x3,14,1.0666666666666669,5,1.0666666666666669,15.0,empirical decision-tree envelope,,,,
NOR,lower,43690,0xaaaa,0x00ff,x0,0,1.0,2,1.0,8.25,empirical decision-tree envelope,,,,
NOR,lower,52428,0xcccc,0x00ff,x1,0,1.0,2,1.0,8.25,empirical decision-tree envelope,,,,
NOR,lower,61680,0xf0f0,0x00ff,x2,0,1.0,2,1.0,8.25,empirical decision-tree envelope,,,,
NOR,lower,65280,0xff00,0x00ff,x3,0,1.0,2,1.0,8.25,empirical decision-tree envelope,,,,
NOR,upper,65535,0xffff,0x0000,1,5,0.0,1,0.0,6.0,empirical decision-tree envelope,,,,
AND_OR_NOT,upper,0,0x0000,0x0000,0,2,0.0,1,0.0,3.0,exact prime cover+empirical decision-tree envelope,3,constant,constant,
AND_OR_NOT,upper,1,0x0001,0x0001,1 + x0 + x1 + x0*x1 + x2 + x0*x2 + x1*x2 + x0*x1*x2 + x3 + x0*x3 + x1*x3 + x0*x1*x3 + x2*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,4,1.0666666666666669,5,1.0666666666666669,5.0,exact prime cover,5,NOT-CNF(not f),NOT-CNF(not f);NOT-DNF(not f),0000
AND_OR_NOT,upper,3,0x0003,0x0003,1 + x1 + x2 + x1*x2 + x3 + x1*x3 + x2*x3 + x1*x2*x3,3,1.2857142857142856,4,1.2857142857142856,4.0,exact prime cover,4,NOT-CNF(not f),NOT-CNF(not f);NOT-DNF(not f),-000
AND_OR_NOT,upper,5,0x0005,0x0003,1 + x0 + x2 + x0*x2 + x3 + x0*x3 + x2*x3 + x0*x2*x3,3,1.2857142857142856,4,1.2857142857142856,4.0,exact prime cover,4,NOT-CNF(not f),NOT-CNF(not f);NOT-DNF(not f),0-00
AND_OR_NOT,upper,7,0x0007,0x0007,1 + x0*x1 + x2 + x0*x1*x2 + x3 + x0*x1*x3 + x2*x3 + x0*x1*x2*x3,4,1.641025641025641,5,1.641025641025641,5.0,exact prime cover,5,NOT-DNF(not f),NOT-DNF(not f),11-- --1- ---1
AND_OR_NOT,upper,11,0x000b,0x000b,1 + x1 + x0*x1 + x2 + x1*x2 + x0*x1*x2 + x3 + x1*x3 + x0*x1*x3 + x2*x3 + x1*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,NOT-DNF(not f),NOT-DNF(not f),01-- --1- ---1
AND_OR_NOT,upper,13,0x000d,0x000b,1 + x0 + x0*x1 + x2 + x0*x2 + x0*x1*x2 + x3 + x0*x3 + x0*x1*x3 + x2*x3 + x0*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,NOT-DNF(not f),NOT-DNF(not f),10-- --1- ---1
AND_OR_NOT,upper,15,0x000f,0x000f,1 + x2 + x3 + x2*x3,2,1.3333333333333333,3,1.3333333333333333,3.0,exact prime cover,3,NOT-CNF(not f),NOT-CNF(not f);NOT-DNF(not f),--00
AND_OR_NOT,upper,17,0x0011,0x0003,1 + x0 + x1 + x0*x1 + x3 + x0*x3 + x1*x3 + x0*x1*x3,3,1.2857142857142856,4,1.2857142857142856,4.0,exact prime cover,4,NOT-CNF(not f),NOT-CNF(not f);NOT-DNF(not f),00-0
AND_OR_NOT,upper,19,0x0013,0x0007,1 + x1 + x0*x2 + x0*x1*x2 + x3 + x1*x3 + x0*x2*x3 + x0*x1*x2*x3,4,1.641025641025641,5,1.641025641025641,5.0,exact prime cover,5,NOT-DNF(not f),NOT-DNF(not f),-1-- 1-1- ---1
AND_OR_NOT,upper,21,0x0015,0x0007,1 + x0 + x1*x2 + x0*x1*x2 + x3 + x0*x3 + x1*x2*x3 + x0*x1*x2*x3,4,1.641025641025641,5,1.641025641025641,5.0,exact prime cover,5,NOT-DNF(not f),NOT-DNF(not f),1--- -11- ---1
AND_OR_NOT,upper,27,0x001b,0x001b,1 + x1 + x0*x1 + x0*x2 + x3 + x1*x3 + x0*x1*x3 + x0*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,NOT-DNF(not f),NOT-DNF(not f),01-- 1-1- ---1
AND_OR_NOT,upper,29,0x001d,0x001b,1 + x0 + x0*x1 + x1*x2 + x3 + x0*x3 + x0*x1*x3 + x1*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,NOT-DNF(not f),NOT-DNF(not f),10-- -11- ---1
AND_OR_NOT,upper,35,0x0023,0x000b,1 + x1 + x2 + x0*x2 + x1*x2 + x0*x1*x2 + x3 + x1*x3 + x2*x3 + x0*x2*x3 + x1*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,NOT-DNF(not f),NOT-DNF(not f),-1-- 0-1- ---1
AND_OR_NOT,upper,39,0x0027,0x001b,1 + x0*x1 + x2 + x0*x2 + x3 + x0*x1*x3 + x2*x3 + x0*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,NOT-DNF(not f),NOT-DNF(not f),11-- 0-1- ---1
AND_OR_NOT,upper,49,0x0031,0x000b,1 + x0 + x1 + x0*x1 + x0*x2 + x0*x1*x2 + x3 + x0*x3 + x1*x3 + x0*x1*x3 + x0*x2*x3 + x0*x1*x2*x3,5,1.641025641025641,5,1.641025641025641,6.0,exact prime cover,6,NOT-DNF(not f),NOT-DNF(not f),1-0- -1-- ---1
AND_OR_NOT,upper,51,0x0033,0x000f,1 + x1 + x3 + x1*x3,2,1.3333333333333333,3,1.3333333333333333,3.0,exact prime cover,3,NOT-CNF(not f),NOT-CNF(not f);NOT-DNF(not f),-0-0
AND_OR_NOT,upper,53,0x0035,0x001b,1 + x0 + x0*x2 + x1*x2 + x3 + x0*x3 + x0*x2*x3 + x1*x2*x3,6,2.083333333333333,5,2.083333333333333,7.0,exact prime cover,7,NOT-DNF(not f),NOT-DNF(not f),1-0- -11- ---1
AND_OR_NOT,upper,63,0x003f,0x003f,1 + x1*x2 + x3 + x1*x2*x3,3,1.6666666666666667,4,1.6666666666666667,4.0,exact prime cover,4,NOT-DNF(not f),NOT-DNF(not f),-11- ---1
