truth_table,mean_certificate_size,anf_terms_degree_1,khrapchenko_product,decision_tree_leaf_count,target_NAND,lower_NAND,upper_NAND,position_NAND,target_NOR,lower_NOR,upper_NOR,position_NOR,target_AND_OR_NOT,lower_AND_OR_NOT,upper_AND_OR_NOT,position_AND_OR_NOT,exact_aon_cover_upper
0,0.0,0,0.0,1,5.0,0.0,6.0,1.0,2.0,0.0,6.0,0.5,2.0,0.0,3.0,1.0,3
1,1.1875,4,1.0666666666666669,5,14.0,1.0666666666666669,15.0,1.0,5.0,1.0666666666666669,15.0,0.35406698564593303,4.0,1.0666666666666669,5.0,1.0,5
2,1.1875,1,1.0666666666666669,5,11.0,1.0666666666666669,15.0,0.784688995215311,6.0,1.0666666666666669,15.0,0.4258373205741627,4.0,1.0666666666666669,6.0,0.7972972972972973,6
3,1.25,3,1.2857142857142856,4,10.0,1.2857142857142856,12.75,0.8473520249221184,3.0,1.2857142857142856,12.75,0.2367601246105919,3.0,1.2857142857142856,4.0,1.0,4
4,1.1875,1,1.0666666666666669,5,11.0,1.0666666666666669,15.0,0.784688995215311,6.0,1.0666666666666669,15.0,0.4258373205741627,4.0,1.0666666666666669,6.0,0.7972972972972973,6
5,1.25,3,1.2857142857142856,4,10.0,1.2857142857142856,12.75,0.8473520249221184,3.0,1.2857142857142856,12.75,0.2367601246105919,3.0,1.2857142857142856,4.0,1.0,4
6,1.5,2,2.2857142857142856,6,14.0,2.2857142857142856,17.25,0.8496420047732697,7.0,2.2857142857142856,17.25,0.3818615751789976,6.0,2.2857142857142856,9.0,0.7021276595744681,9
7,1.4375,2,1.641025641025641,5,10.0,1.641025641025641,15.0,0.7005758157389635,4.0,1.641025641025641,15.0,0.2514395393474088,4.0,1.641025641025641,5.0,1.0,5
8,1.1875,0,1.0666666666666669,5,10.0,1.0666666666666669,15.0,0.7129186602870814,7.0,1.0666666666666669,15.0,0.49760765550239233,4.0,1.0666666666666669,6.0,0.7972972972972973,6
9,1.5,4,2.2857142857142856,6,14.0,2.2857142857142856,17.25,0.8496420047732697,8.0,2.2857142857142856,17.25,0.4486873508353222,7.0,2.2857142857142856,9.0,0.851063829787234,9
10,1.25,1,1.2857142857142856,4,8.0,1.2857142857142856,12.75,0.6728971962616822,4.0,1.2857142857142856,12.75,0.32398753894080995,3.0,1.2857142857142856,5.0,0.7307692307692307,5
11,1.4375,3,1.641025641025641,5,11.0,1.641025641025641,15.0,0.7754318618042226,5.0,1.641025641025641,15.0,0.32629558541266795,5.0,1.641025641025641,6.0,1.0,6
12,1.25,1,1.2857142857142856,4,8.0,1.2857142857142856,12.75,0.6728971962616822,4.0,1.2857142857142856,12.75,0.32398753894080995,3.0,1.2857142857142856,5.0,0.7307692307692307,5
13,1.4375,3,1.641025641025641,5,11.0,1.641025641025641,15.0,0.7754318618042226,5.0,1.641025641025641,15.0,0.32629558541266795,5.0,1.641025641025641,6.0,1.0,6
14,1.4375,2,1.641025641025641,5,10.0,1.641025641025641,15.0,0.7005758157389635,4.0,1.641025641025641,15.0,0.2514395393474088,4.0,1.641025641025641,6.0,0.7705882352941176,6
15,1.25,2,1.3333333333333333,3,6.0,1.3333333333333333,10.5,0.6181818181818183,1.0,1.3333333333333333,10.5,0.07272727272727274,2.0,1.3333333333333333,3.0,1.0,3
16,1.1875,1,1.0666666666666669,5,11.0,1.0666666666666669,15.0,0.784688995215311,6.0,1.0666666666666669,15.0,0.4258373205741627,4.0,1.0666666666666669,6.0,0.7972972972972973,6
