family,features,importance_mean
decision trees,2,0.2830905134865284
certificates,4,0.16694854918430999
local sensitivity,5,0.08119697127510254
ANF support,5,0.06766092829592449
prime cubes,6,0.05144089674220145
Fourier phase,5,0.03875832213012346
Fourier magnitude,5,0.02275853309825238
cube topology,3,0.013012904864021244
symmetry,1,0.006769821115836583
higher derivatives,4,0.004542606324351107
Fourier shape,12,0.0036335833159805305
restrictions,5,0.0022683142816108085
influence,4,0.0019705318855167734
factorability,3,0.00013203276726220237
output balance,1,0.00011211914155305665
ANF,1,-2.0881311706198263e-05
