index,family,features,language,importance_mean,importance_std
0,ANF,1,AND_OR_NOT,5.680350497236642e-05,5.488561571067611e-05
1,ANF,1,NAND,-6.856250421907461e-05,9.641685148607247e-05
2,ANF,1,NOR,-5.088493587188658e-05,0.00010970982526992419
3,ANF support,5,AND_OR_NOT,0.034814153830455115,0.0027214130084148276
4,ANF support,5,NAND,0.12110883147124947,0.007989101556943457
5,ANF support,5,NOR,0.047059799586068894,0.005456247539272228
6,Fourier magnitude,5,AND_OR_NOT,0.03804958481140047,0.004314416132559849
7,Fourier magnitude,5,NAND,0.011450527399277034,0.0022151245704735705
8,Fourier magnitude,5,NOR,0.018775487084079633,0.00340820286316929
9,Fourier phase,5,AND_OR_NOT,0.03832228096770098,0.004313919421879194
10,Fourier phase,5,NAND,0.022112869085610082,0.002587937213072004
11,Fourier phase,5,NOR,0.055839816337059325,0.003796639387316518
12,Fourier shape,12,AND_OR_NOT,0.00502887949730117,0.0011169135457059188
13,Fourier shape,12,NAND,0.0025897870520102005,0.0007009813751005993
14,Fourier shape,12,NOR,0.00328208339863022,0.0008439041623287747
15,certificates,4,AND_OR_NOT,0.2965149055670696,0.050100210257801925
16,certificates,4,NAND,0.09530497068001195,0.013405528918025732
17,certificates,4,NOR,0.10902577130584841,0.027002015576249948
18,cube topology,3,AND_OR_NOT,0.005207620036771901,0.0013541676946056205
19,cube topology,3,NAND,0.0173734614878473,0.003411909146668476
20,cube topology,3,NOR,0.016457633067444535,0.0028588621951943544
21,decision trees,2,AND_OR_NOT,0.3829407994431434,0.04087207756572871
22,decision trees,2,NAND,0.1920008811656569,0.011114735915561422
23,decision trees,2,NOR,0.2743298598507849,0.021758974334783732
24,factorability,3,AND_OR_NOT,0.00017481962424448493,0.00013507142429211168
25,factorability,3,NAND,0.00012876245443131927,0.00014456151409271398
26,factorability,3,NOR,9.251622311080287e-05,0.00012316115184342124
27,higher derivatives,4,AND_OR_NOT,0.008341892123187275,0.0016986344031310304
28,higher derivatives,4,NAND,0.0026036585552454694,0.0010031430500836442
29,higher derivatives,4,NOR,0.002682268294620577,0.0008005647197726132
30,influence,4,AND_OR_NOT,0.0034249060538474375,0.0005666720689951615
31,influence,4,NAND,0.0007105215144494748,0.0006260157328475419
32,influence,4,NOR,0.0017761680882534075,0.0006490811072010418
33,local sensitivity,5,AND_OR_NOT,0.0694208063680553,0.0095461540752025
34,local sensitivity,5,NAND,0.07713692523153418,0.009919420574222688
35,local sensitivity,5,NOR,0.09703318222571813,0.009775426342602575
36,output balance,1,AND_OR_NOT,-5.208362510716879e-06,5.660833497500705e-05
37,output balance,1,NAND,0.0002001313885217876,0.00015053152269912343
38,output balance,1,NOR,0.00014143439864809925,0.000178029530289986
39,prime cubes,6,AND_OR_NOT,0.002453990161622471,0.0004740065072435923
40,prime cubes,6,NAND,0.06903007957750332,0.009451880594942995
41,prime cubes,6,NOR,0.08283862048747857,0.01947285910400897
42,restrictions,5,AND_OR_NOT,0.005600444292546003,0.001651152623000613
43,restrictions,5,NAND,0.0006854302361803844,0.0003485997511577556
44,restrictions,5,NOR,0.0005190683161060388,0.0003721141785665479
45,symmetry,1,AND_OR_NOT,0.01571262415369451,0.0023490900461032773
46,symmetry,1,NAND,0.0012316487458287728,0.0006716575118734839
47,symmetry,1,NOR,0.0033651904479864657,0.001109038536500404
