feature,status,family,language,distinct_values,pearson_r,spearman_rho,eta_squared,adjusted_eta_squared,expected_null_eta_squared,conditional_ceiling_gain
bias,used,output balance,NAND,17,-0.26924640405216804,-0.2771959249874939,0.08829069369688579,0.08806805066355428,0.00024414435034714275,0.0
bias,used,output balance,NOR,17,0.26924640405216804,0.2771959249874939,0.08829069369688579,0.08806805066355428,0.00024414435034714275,0.0
bias,used,output balance,AND_OR_NOT,17,0.0,0.0,0.06590474631252165,0.065676636541936,0.00024414435034714275,0.0
influence_0,used,influence,NAND,9,0.6589623758964056,0.6263077356285874,0.4413964488329199,0.44132825055725733,0.00012207217517357137,0.0
influence_0,used,influence,NOR,9,0.6589623758964056,0.6263077356285874,0.4413964488329199,0.44132825055725733,0.00012207217517357137,0.0
influence_0,used,influence,AND_OR_NOT,9,0.7220219478758477,0.6903877204319725,0.525740703219116,0.525682802287069,0.00012207217517357137,0.0
influence_1,used,influence,NAND,9,0.6340988981942358,0.6187612821539447,0.4059184356418551,0.4058459059592071,0.00012207217517357137,0.0
influence_1,used,influence,NOR,9,0.6340988981942358,0.6187612821539447,0.4059184356418551,0.4058459059592071,0.00012207217517357137,0.0
influence_1,used,influence,AND_OR_NOT,9,0.6997220954795642,0.6807970548735935,0.49451193392291737,0.4944502203616584,0.00012207217517357137,0.0
influence_2,used,influence,NAND,9,0.4855011159579058,0.4596232503590686,0.2386991986127566,0.23860625362197263,0.00012207217517357137,0.0
influence_2,used,influence,NOR,9,0.4855011159579058,0.4596232503590686,0.2386991986127566,0.23860625362197263,0.00012207217517357137,0.0
influence_2,used,influence,AND_OR_NOT,9,0.5222234165592876,0.49723454687426694,0.28345835841311023,0.28337087793738736,0.00012207217517357137,0.0
influence_3,used,influence,NAND,9,0.3167547776233063,0.30969905125862407,0.1026206705173221,0.10251111209658159,0.00012207217517357137,0.0
influence_3,used,influence,NOR,9,0.3167547776233063,0.30969905125862407,0.1026206705173221,0.10251111209658159,0.00012207217517357137,0.0
influence_3,used,influence,AND_OR_NOT,9,0.3817235631435058,0.369930035809179,0.15443528245542654,0.15433204992928673,0.00012207217517357137,0.0
fourier_energy_degree_0,used,Fourier magnitude,NAND,9,-0.11288296455642727,-0.07763637617667878,0.013188791633906396,0.013068314736338515,0.00012207217517357137,0.0
fourier_energy_degree_0,used,Fourier magnitude,NOR,9,-0.11288296455642727,-0.07763637617667878,0.013188791633906396,0.013068314736338515,0.00012207217517357137,0.0
fourier_energy_degree_0,used,Fourier magnitude,AND_OR_NOT,9,-0.2559848796713036,-0.19217784023133744,0.06590474631252165,0.0657907053518566,0.00012207217517357137,0.0
fourier_energy_degree_1,used,Fourier magnitude,NAND,15,-0.5064873754926136,-0.4666910357585467,0.2636582089705094,0.26350087338231,0.0002136263065537499,0.0
fourier_energy_degree_1,used,Fourier magnitude,NOR,15,-0.5064873754926136,-0.4666910357585467,0.2636582089705094,0.26350087338231,0.0002136263065537499,0.0
fourier_energy_degree_1,used,Fourier magnitude,AND_OR_NOT,15,-0.4943085892575934,-0.45368667378217176,0.25207455065745143,0.25191473996636315,0.0002136263065537499,0.0
fourier_energy_degree_2,used,Fourier magnitude,NAND,19,-0.2434980203942832,-0.24122045362532707,0.07144674524702796,0.07119163651821625,0.0002746623941405356,0.0
fourier_energy_degree_2,used,Fourier magnitude,NOR,19,-0.2434980203942832,-0.24122045362532707,0.07144674524702796,0.07119163651821625,0.0002746623941405356,0.0
fourier_energy_degree_2,used,Fourier magnitude,AND_OR_NOT,19,-0.2268350377199603,-0.23741174257067899,0.05795635267026227,0.05769753761994045,0.0002746623941405356,0.0
fourier_energy_degree_3,used,Fourier magnitude,NAND,15,0.527532611378684,0.5501909184088566,0.28400552616756036,0.2838525382303546,0.0002136263065537499,0.0
fourier_energy_degree_3,used,Fourier magnitude,NOR,15,0.527532611378684,0.5501909184088566,0.28400552616756036,0.2838525382303546,0.0002136263065537499,0.0
fourier_energy_degree_3,used,Fourier magnitude,AND_OR_NOT,15,0.5767411688552033,0.5996209675672854,0.3401858167577402,0.3400448329729171,0.0002136263065537499,0.0
fourier_energy_degree_4,used,Fourier magnitude,NAND,9,0.5622321429099763,0.4740362374337555,0.32157865249191947,0.3214958260115365,0.00012207217517357137,0.0
fourier_energy_degree_4,used,Fourier magnitude,NOR,9,0.5622321429099763,0.4740362374337555,0.32157865249191947,0.3214958260115365,0.00012207217517357137,0.0
fourier_energy_degree_4,used,Fourier magnitude,AND_OR_NOT,9,0.5621950738784899,0.4725124233474068,0.32165832263265426,0.3215755058789659,0.00012207217517357137,0.0
algebraic_degree,used,ANF,NAND,5,0.006832605503163155,-0.0005937370789582688,0.0013751156429209293,0.00131415976650473,6.103608758678569e-05,0.0
algebraic_degree,used,ANF,NOR,5,0.006832605503163155,-0.0005937370789582688,0.0013751156429209293,0.00131415976650473,6.103608758678569e-05,0.0
algebraic_degree,used,ANF,AND_OR_NOT,5,0.003310221136406892,-0.002669647270804974,0.0015664125586322378,0.001505468358944051,6.103608758678569e-05,0.0
input_symmetries,used,symmetry,NAND,6,0.12039132193536668,0.11382877072942187,0.0181900554750108,0.018115142462304834,7.629510948348211e-05,0.0
