feature,status,family,mean_adjusted_eta_squared,mean_absolute_spearman,mean_conditional_ceiling_gain,distinct_values
decision_tree_leaf_count,new,decision trees,0.7474347354825608,0.8484576880000056,0.00973898054297521,16
khrapchenko_product,new,local sensitivity,0.743933646886567,0.8336216805324016,0.0,44
mean_certificate_size,new,certificates,0.7419346611708701,0.8224006303911774,0.011055069169888446,36
constant_faces_codimension_3,new,restrictions,0.658203614947105,0.7926408363064388,0.0,15
mean_certificate_size_output_1,new,certificates,0.6396649556421018,0.546537659534828,0.011663605791467265,72
mean_certificate_size_output_0,new,certificates,0.6396649556421018,0.546537659534828,0.011663605791467265,72
zero_conditional_sensitivity,new,local sensitivity,0.5797939077189894,0.41660760326707186,0.0,55
one_conditional_sensitivity,new,local sensitivity,0.5797939077189894,0.41660760326707186,0.0,55
total_monochromatic_components,new,cube topology,0.5650837737342737,0.7238351043595737,0.0019487498560957588,12
prime_1_mean_literals,new,prime cubes,0.5143262130062874,0.5516763634170329,0.011015259019254561,54
prime_0_mean_literals,new,prime cubes,0.5143262130062873,0.5516763634170329,0.011015259019254561,54
constant_faces_codimension_2,new,restrictions,0.49783181244443925,0.6803221897658642,0.00938689865529189,16
influence_0,used,influence,0.46944643446719453,0.647667730563049,0.0,9
influence_1,used,influence,0.4353806774266909,0.6394398730604943,0.0,9
maximum_certificate_size,new,certificates,0.38088939346454814,0.6180495551859498,0.005971354094600627,5
maximum_local_sensitivity,new,local sensitivity,0.3791633440785371,0.6177084914010932,0.005971354094600627,5
fourier_l1_degree_4,new,Fourier shape,0.3215223859673463,0.4735282994049726,0.0,9
fourier_energy_degree_4,used,Fourier magnitude,0.3215223859673463,0.4735282994049726,0.0,9
prime_1_count,new,prime cubes,0.30710651704805314,0.510143418106756,0.011744055342727785,14
prime_0_count,new,prime cubes,0.3071065170480531,0.510143418106756,0.011744055342727785,14
fourier_energy_degree_3,used,Fourier magnitude,0.3025833031445421,0.5666676014616662,0.0,15
one_region_components,new,cube topology,0.3012511100475738,0.49134483028584247,0.00187514198009812,9
zero_region_components,new,cube topology,0.3012511100475738,0.49134483028584247,0.0018751419800980829,9
fourier_l1_degree_3,new,Fourier shape,0.2935282133113047,0.5512356075035859,0.00023651701867647792,7
fourier_energy_degree_1,used,Fourier magnitude,0.2596388289103277,0.46235624843308837,0.0,15
influence_2,used,influence,0.2535277950604442,0.472160349197468,0.0,9
fourier_l1_degree_1,new,Fourier shape,0.22078120500580053,0.4342826897472764,0.0007764628314557523,7
prime_1_minimum_literals,new,prime cubes,0.1891976882901838,0.3839976074631956,0.004842575751935992,5
prime_0_minimum_literals,new,prime cubes,0.1891976882901838,0.3839976074631956,0.004842575751935992,5
anf_terms_degree_1,new,ANF support,0.13458172826537,0.3100370000205579,0.04045756709453008,5
sensitivity_variance,new,local sensitivity,0.12936098079306843,0.33567323332417454,0.0,17
influence_3,used,influence,0.11978475804081663,0.32977604610880906,0.0,9
decision_tree_depth,new,decision trees,0.10804567676998356,0.31348473684935263,0.0011124070498161516,5
constant_faces_codimension_1,new,restrictions,0.09777777105059449,0.2720759396743036,0.0,6
canalizing_variable_count,new,restrictions,0.09747298108517695,0.2720593747577163,0.0,5
order_2_derivative_max,new,higher derivatives,0.08585588444311527,0.26177671933177,0.0010647830043097513,9
bias,used,output balance,0.08060424595634819,0.18479728332499593,0.0,17
order_2_derivative_std,new,higher derivatives,0.07108654711116269,0.1751916776026922,0.0062882018868159655,23
fourier_energy_degree_2,used,Fourier magnitude,0.06669360355212432,0.2399508832737777,0.0,19
and_factorable_partitions,new,factorability,0.0565306454180606,0.1961873022386449,0.00014235483329065138,7
or_factorable_partitions,new,factorability,0.0565306454180606,0.1961873022386449,0.00014235483329065138,7
fourier_zero_degree_3,new,Fourier shape,0.05496680416333829,0.13855843952818359,0.0,5
fourier_zero_degree_4,new,Fourier shape,0.054095782296443594,0.22478726764449217,0.0,2
fourier_negative_degree_0,new,Fourier phase,0.03684709762333127,0.16932253082619012,0.0,2
fourier_l1_degree_2,new,Fourier shape,0.0331725916553984,0.1828564466169816,0.00027899094223926557,8
fourier_energy_degree_0,used,Fourier magnitude,0.03064244494151121,0.11581686419489834,0.0,9
fourier_l1_degree_0,new,Fourier shape,0.03064244494151121,0.11581686419489834,0.0,9
cofactor_orbit_diversity,new,restrictions,0.027898115017693164,0.04168969405194806,0.005934366333906167,8
order_3_derivative_std,new,higher derivatives,0.026522088364749674,0.08965071363574496,0.004872379239194073,14
fourier_zero_degree_1,new,Fourier shape,0.025180081456964525,0.0923356769073262,0.0,5
fourier_entropy,new,Fourier shape,0.020061656528330807,0.13437606015439837,0.001291970792371459,8
maximum_absolute_walsh,new,Fourier shape,0.01787274091463013,0.1308546742465243,0.001291970792371459,7
anf_terms_degree_2,new,ANF support,0.015965291597045184,0.12179476427819791,0.03300028467584463,7
fourier_negative_degree_1,new,Fourier phase,0.01427847881616954,0.11580791807182696,0.030679001598722905,5
order_3_derivative_max,new,higher derivatives,0.01393768467426352,0.06487445961918921,0.004872379239194073,9
input_symmetries,used,symmetry,0.012706244993523094,0.07659819123788665,0.0,6
xor_factorable_partitions,new,factorability,0.012553522045793927,0.05898414030984209,0.0003211792722317049,7
fourier_negative_degree_4,new,Fourier phase,0.008944066509375329,0.0910723058785648,0.0032063466521858874,2
fourier_negative_degree_3,new,Fourier phase,0.008189395059263083,0.0713427244857565,0.030726321536374113,5
fourier_zero_degree_2,new,Fourier shape,0.006908312437720128,0.011927067660769562,0.0,7
anf_terms_degree_0,new,ANF support,0.006042428576232865,0.07212970109984802,0.01685741315720494,2
fourier_zero_degree_0,new,Fourier shape,0.003409906329335429,0.04968746290355717,0.0,2
algebraic_degree,used,ANF,0.001377929297317837,0.0012857071429071708,0.0,5
fourier_negative_degree_2,new,Fourier phase,0.000910383965227135,0.010726417704507414,0.016030746026901726,7
anf_terms_degree_3,new,ANF support,0.00014767043990460138,0.0032044648698084945,0.014022938865193272,5
anf_terms_degree_4,new,ANF support,-9.22631864678595e-06,0.0009375503667459822,0.0,2
