descriptor_class,language,spread,low_complexity,high_complexity,low_truth_table,high_truth_table,low_truth_table_hex,high_truth_table_hex,candidate_families_that_separate_pair
597,NAND,8,9,17,34687,61161,0x877f,0xeee9,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
102,NOR,8,9,17,286,26760,0x011e,0x6888,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
62,NAND,7,15,22,26752,278,0x6880,0x0116,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
102,NAND,7,12,19,26760,286,0x6888,0x011e,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
646,NAND,7,12,19,38783,65257,0x977f,0xfee9,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
62,NOR,7,12,19,278,26752,0x0116,0x6880,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
597,NOR,7,12,19,61161,34687,0xeee9,0x877f,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
646,NOR,7,15,22,65257,38783,0xfee9,0x977f,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
3,NAND,6,8,14,32768,1,0x8000,0x0001,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
82,NAND,6,9,15,59520,279,0xe880,0x0117,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
84,NAND,6,9,15,10944,724,0x2ac0,0x02d4,fourier_signed_shape;fourier_sign_profile;anf_degree_profile;local_sensitivity_profile;constant_restriction_profile;certificate_profile
114,NAND,6,16,22,34400,1633,0x8660,0x0661,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
167,NAND,6,11,17,34696,857,0x8788,0x0359,fourier_signed_shape;fourier_sign_profile;anf_degree_profile;local_sensitivity_profile;constant_restriction_profile;certificate_profile
170,NAND,6,9,15,27328,854,0x6ac0,0x0356,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
185,NAND,6,14,20,26762,414,0x688a,0x019e,fourier_signed_shape;fourier_sign_profile;anf_degree_profile
225,NAND,6,7,13,44256,731,0xace0,0x02db,fourier_signed_shape;fourier_absolute_shape;fourier_l1_by_degree;fourier_sign_profile;anf_degree_profile;local_sensitivity_profile;constant_restriction_profile;certificate_profile
