scope,parity_variable_mask,parity_order,language,pairs,mean_absolute_gate_difference,fraction_changed,maximum_absolute_gate_difference
all_pairs,12,2,NAND,32768,3.44390869140625,0.8505859375,18
all_pairs,12,2,NOR,32768,3.44390869140625,0.8505859375,18
all_pairs,12,2,AND_OR_NOT,32768,2.6912841796875,0.8079833984375,14
same_descriptor_cross_orbit,12,2,NAND,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,12,2,NOR,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,12,2,AND_OR_NOT,940,0.7021276595744681,0.5914893617021276,2
all_pairs,10,2,NAND,32768,3.44390869140625,0.8505859375,18
all_pairs,10,2,NOR,32768,3.44390869140625,0.8505859375,18
all_pairs,10,2,AND_OR_NOT,32768,2.6912841796875,0.8079833984375,14
same_descriptor_cross_orbit,10,2,NAND,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,10,2,NOR,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,10,2,AND_OR_NOT,940,0.7021276595744681,0.5914893617021276,2
all_pairs,6,2,NAND,32768,3.44390869140625,0.8505859375,18
all_pairs,6,2,NOR,32768,3.44390869140625,0.8505859375,18
all_pairs,6,2,AND_OR_NOT,32768,2.6912841796875,0.8079833984375,14
same_descriptor_cross_orbit,6,2,NAND,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,6,2,NOR,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,6,2,AND_OR_NOT,940,0.7021276595744681,0.5914893617021276,2
all_pairs,9,2,NAND,32768,3.44390869140625,0.8505859375,18
all_pairs,9,2,NOR,32768,3.44390869140625,0.8505859375,18
all_pairs,9,2,AND_OR_NOT,32768,2.6912841796875,0.8079833984375,14
same_descriptor_cross_orbit,9,2,NAND,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,9,2,NOR,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,9,2,AND_OR_NOT,940,0.7021276595744681,0.5914893617021276,2
all_pairs,5,2,NAND,32768,3.44390869140625,0.8505859375,18
all_pairs,5,2,NOR,32768,3.44390869140625,0.8505859375,18
all_pairs,5,2,AND_OR_NOT,32768,2.6912841796875,0.8079833984375,14
same_descriptor_cross_orbit,5,2,NAND,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,5,2,NOR,940,1.4117021276595745,0.798936170212766,6
same_descriptor_cross_orbit,5,2,AND_OR_NOT,940,0.7021276595744681,0.5914893617021276,2
