language,fold,model,features,position_r2,gate_count_r2,test_compact_classes
NAND,0,fixed midpoint,0,-0.02937014439118224,0.7358101204423284,791
NAND,0,bracket coordinates,2,0.148060492421617,0.7768293154242598,791
NAND,0,certificates,4,0.5356334594204568,0.8781002303790698,791
NAND,0,algebraic + phase,10,0.5380081662447818,0.8753347179598658,791
NAND,0,all corrections,14,0.7830391394500766,0.9388942936203075,791
NAND,0,compact sandwich,16,0.8194854118098672,0.9508615977897856,791
NAND,1,fixed midpoint,0,-0.05060770590828101,0.738721563321161,791
NAND,1,bracket coordinates,2,0.1412922298244499,0.7840576612819807,791
NAND,1,certificates,4,0.5273470142868529,0.8729720276454251,791
NAND,1,algebraic + phase,10,0.5828220678580676,0.8899443730230964,791
NAND,1,all corrections,14,0.7513693211444611,0.9334457759781789,791
NAND,1,compact sandwich,16,0.7876758249090251,0.9451822640764471,791
NAND,2,fixed midpoint,0,-0.06501850309556256,0.7587502902380745,790
NAND,2,bracket coordinates,2,0.1768800120851327,0.8095542824100406,790
NAND,2,certificates,4,0.46432327355167524,0.8717304213442505,790
NAND,2,algebraic + phase,10,0.5094708596089135,0.8822965768262838,790
NAND,2,all corrections,14,0.7300886439581946,0.9346104521748274,790
NAND,2,compact sandwich,16,0.7710451793670469,0.9458941792910961,790
NAND,3,fixed midpoint,0,-0.05299428751752888,0.6993029420838721,790
NAND,3,bracket coordinates,2,0.18986531235476944,0.7661527619114972,790
NAND,3,certificates,4,0.549015605439335,0.8692147240670356,790
NAND,3,algebraic + phase,10,0.5471115860845488,0.8676739329616252,790
NAND,3,all corrections,14,0.769794612275599,0.9295563058349368,790
NAND,3,compact sandwich,16,0.8170519620610103,0.9458579758064686,790
NAND,4,fixed midpoint,0,-0.0359409741732688,0.7169295634269448,790
NAND,4,bracket coordinates,2,0.12089563012197446,0.7559982060777855,790
NAND,4,certificates,4,0.505425908452432,0.8592531693783381,790
NAND,4,algebraic + phase,10,0.6055783762248856,0.8922274221948463,790
NAND,4,all corrections,14,0.750224201675568,0.930454361167675,790
NAND,4,compact sandwich,16,0.7848725944689107,0.9413899027972683,790
NOR,0,fixed midpoint,0,-0.031982415609133064,0.7495814293404,791
NOR,0,bracket coordinates,2,0.16665461587148245,0.797425638383231,791
NOR,0,certificates,4,0.5202253025620236,0.882637726849032,791
NOR,0,algebraic + phase,10,0.3873326074789286,0.8457101596286676,791
NOR,0,all corrections,14,0.7129280569800626,0.9289117869195064,791
NOR,0,compact sandwich,16,0.7387688659412113,0.9362825144445467,791
NOR,1,fixed midpoint,0,-0.043819906468887115,0.7204658298761651,791
NOR,1,bracket coordinates,2,0.12348792777500173,0.7643760034902093,791
NOR,1,certificates,4,0.5162290277309612,0.8625465799032539,791
NOR,1,algebraic + phase,10,0.41888736093809353,0.8359558358538675,791
NOR,1,all corrections,14,0.7310563396753016,0.9224802605342397,791
NOR,1,compact sandwich,16,0.7462272742801266,0.9281231988210104,791
NOR,2,fixed midpoint,0,-0.052490356424612195,0.7436941197778979,790
NOR,2,bracket coordinates,2,0.1540524252790315,0.7923630413201043,790
NOR,2,certificates,4,0.472882408897385,0.8674132794623338,790
NOR,2,algebraic + phase,10,0.3967311570940274,0.846522216132943,790
NOR,2,all corrections,14,0.6975944147412929,0.9228194651899987,790
NOR,2,compact sandwich,16,0.7307667822027398,0.9328411188647034,790
NOR,3,fixed midpoint,0,-0.03103558384512528,0.7273092726931163,790
NOR,3,bracket coordinates,2,0.16217504276539985,0.7733916639974472,790
NOR,3,certificates,4,0.5204631701240902,0.8672962249678349,790
NOR,3,algebraic + phase,10,0.3940833524037759,0.8355316203441867,790
NOR,3,all corrections,14,0.7081213775681918,0.9193608465997273,790
NOR,3,compact sandwich,16,0.7299350276960628,0.9265821671587199,790
NOR,4,fixed midpoint,0,-0.0740249488879583,0.708911446701288,790
NOR,4,bracket coordinates,2,0.1738563562661093,0.76674068791033,790
NOR,4,certificates,4,0.5293969919779614,0.864640186088637,790
NOR,4,algebraic + phase,10,0.3967572554149412,0.8261373219400092,790
NOR,4,all corrections,14,0.715260671614855,0.9155529605090201,790
NOR,4,compact sandwich,16,0.7425886096748138,0.924771034917528,790
AND_OR_NOT,0,fixed midpoint,0,-3.477329342203274,0.20272765759903566,791
AND_OR_NOT,0,bracket coordinates,2,0.42018079467050673,0.899386010960156,791
AND_OR_NOT,0,certificates,4,0.41732748966869615,0.8982879724627493,791
AND_OR_NOT,0,algebraic + phase,10,0.3269279282178027,0.8871556183743303,791
AND_OR_NOT,0,all corrections,14,0.6208583628294806,0.9323508581353643,791
AND_OR_NOT,0,compact sandwich,16,0.7214511051334628,0.9528734473473669,791
AND_OR_NOT,1,fixed midpoint,0,-3.3059688325745125,0.15474613265679749,791
AND_OR_NOT,1,bracket coordinates,2,0.40801183411593367,0.8861689537016084,791
AND_OR_NOT,1,certificates,4,0.42602955430435907,0.8880438899645066,791
AND_OR_NOT,1,algebraic + phase,10,0.36944741313722473,0.879672406899431,791
AND_OR_NOT,1,all corrections,14,0.6411690442461386,0.9284355123817529,791
AND_OR_NOT,1,compact sandwich,16,0.7469673089247908,0.9517836868356369,791
AND_OR_NOT,2,fixed midpoint,0,-3.4445087766708458,0.20939742124634564,790
AND_OR_NOT,2,bracket coordinates,2,0.40110989343077674,0.8983832601558105,790
AND_OR_NOT,2,certificates,4,0.4217424246854642,0.8991789032734094,790
AND_OR_NOT,2,algebraic + phase,10,0.3335553900786242,0.8864723153032462,790
AND_OR_NOT,2,all corrections,14,0.614250472112242,0.9315520094698024,790
AND_OR_NOT,2,compact sandwich,16,0.7176312970176746,0.9510815980465241,790
AND_OR_NOT,3,fixed midpoint,0,-3.327345250079772,0.15251061768617924,790
AND_OR_NOT,3,bracket coordinates,2,0.3711123007666626,0.8796945506442835,790
AND_OR_NOT,3,certificates,4,0.40913231931008864,0.8823282314162737,790
AND_OR_NOT,3,algebraic + phase,10,0.2781930605267897,0.8662062513984187,790
AND_OR_NOT,3,all corrections,14,0.5961076667634675,0.9188204623471401,790
AND_OR_NOT,3,compact sandwich,16,0.7210748987909119,0.9467754424647122,790
AND_OR_NOT,4,fixed midpoint,0,-3.727581608437071,0.09386028521369305,790
AND_OR_NOT,4,bracket coordinates,2,0.45093971944499023,0.896756395340116,790
AND_OR_NOT,4,certificates,4,0.4533630082756108,0.898198241564132,790
AND_OR_NOT,4,algebraic + phase,10,0.32984705735076925,0.8772605613400913,790
AND_OR_NOT,4,all corrections,14,0.6161116716014866,0.9272337837223998,790
AND_OR_NOT,4,compact sandwich,16,0.7205375809400066,0.9486575622863274,790
