language,model,features,position_r2_mean,position_r2_std,gate_count_r2_mean,gate_count_r2_std
AND_OR_NOT,algebraic + phase,10,0.20372935265143316,0.033765015216039106,0.9068789299834877,0.007742271769038264
AND_OR_NOT,all corrections,14,0.4729095265859069,0.030997775621613155,0.9345882963786656,0.004995588773608976
AND_OR_NOT,bracket coordinates,2,0.27628670233196895,0.043814436151037965,0.9100445545829914,0.007184727745830659
AND_OR_NOT,certificates,4,0.21906248011332669,0.03386390687210132,0.9028009746485491,0.007907761232449236
AND_OR_NOT,compact sandwich,16,0.6098517909472012,0.02842833345393957,0.9540743526180847,0.0036454702149088147
AND_OR_NOT,fixed midpoint,0,-6.128911099785861,0.22212806413587097,0.11764185724367485,0.044830912550891056
NAND,algebraic + phase,10,0.5565982112042395,0.03789234856602298,0.8814954045931435,0.01020037112235464
NAND,all corrections,14,0.7569031837007799,0.020270231195776176,0.9333922377551851,0.003711637913263298
NAND,bracket coordinates,2,0.1553987353615887,0.027806014450077157,0.7785184454211127,0.020352091777281665
NAND,certificates,4,0.5163490522301504,0.033113229779580144,0.8702541145628239,0.006950345210746742
NAND,compact sandwich,16,0.796026194523172,0.021275574970805337,0.9458371839522132,0.003371040080444352
NAND,fixed midpoint,0,-0.0467863230171647,0.01419946346105504,0.7299028959024761,0.02263570678143549
NOR,algebraic + phase,10,0.39875834666595333,0.011892163035427271,0.8379714307799349,0.00841227205116145
NOR,all corrections,14,0.7129921721159407,0.012168400901872748,0.9218250639504983,0.004925733639783395
NOR,bracket coordinates,2,0.15604527359140496,0.0195660362030257,0.7788594070202643,0.015112756455809798
NOR,certificates,4,0.5118393802584842,0.022304023159405478,0.8689067994542183,0.007937557899187564
NOR,compact sandwich,16,0.7376573119589909,0.007178275875208528,0.9297200068413016,0.004735398693215392
NOR,fixed midpoint,0,-0.04667064224714319,0.01768087181383221,0.7299924196777734,0.016687034621382858
