truth_table,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,exact_aon_cover_upper,exact_minimum_gates,classical_lower_k_plus_1,classical_upper_k_plus_1,predicted_k_plus_1,classical_width,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,construction_upper_k_plus_1,prime_cover_slack,cohort,baseline_lower_k_plus_1,baseline_upper_k_plus_1,baseline_covered,structure_augmented_lower_k_plus_1,structure_augmented_upper_k_plus_1,structure_augmented_covered,inputs,existing_upper_k_plus_1,source,restriction_gain,factor_gain,exact_k_plus_1,true_slack,residual_slack,model,predicted_residual_slack,calibration_offset,learned_reduction_beyond_construction,refined_upper_k_plus_1,covered
3371665271,5.4,15.0,2.875,4.0,3.5,2.5,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,2.0,3.0,31,12,5.4,31.0,17.729191182301292,25.6,0.0,0.0,0.0,18.0,189.0,18.0,13.270808817698708,cost_12_upper_tail,14.987394397357898,19.187828306347924,False,15.173087181017776,19.109903127249765,False,5,31.0,n5_cost_12_challenge,13.0,0.0,13,18.0,5.0,teacher,2.31073407195279,1.900001760713045,0.41073231123974496,17.589267688760255,True
2846074799,4.4089068825910935,12.0,2.6875,5.0,2.769230769230769,2.631578947368421,1.0,0.0,1.0,1.0,2.0,2.0,3.0,6.0,4.0,4.0,28,12,4.4089068825910935,28.0,15.44948000492828,23.591093117408906,0.0,0.0,0.0,15.0,189.0,15.0,12.55051999507172,cost_12_upper_tail,12.669999470131096,16.896053405047965,True,12.91394929526782,16.818082593778907,True,5,28.0,n5_cost_12_challenge,13.0,0.0,13,15.0,2.0,teacher,2.235449352247709,1.900001760713045,0.33544759153466375,14.664552408465337,True
2415463345,5.142857142857143,15.0,3.125,4.0,3.2857142857142856,3.0,1.0,0.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,30,12,5.142857142857143,30.0,18.025957712387218,24.857142857142858,0.0,0.0,0.0,18.0,189.0,18.0,11.974042287612782,cost_12_upper_tail,15.281945870964584,19.46266767631325,False,15.483731411309709,19.41979276945448,False,5,30.0,n5_cost_12_challenge,12.0,0.0,13,17.0,5.0,teacher,1.4022949931197364,1.900001760713045,0.0,18.0,True
4205983551,4.16017316017316,12.0,2.65625,4.0,3.272727272727273,2.333333333333333,1.0,0.0,1.0,3.0,3.0,4.0,3.0,6.0,3.0,3.0,27,12,4.16017316017316,27.0,15.304062680561024,22.83982683982684,0.0,0.0,0.0,15.0,189.0,15.0,11.695937319438976,cost_12_upper_tail,12.735539639841049,16.762601605837727,True,12.818983193022076,16.725042626142315,True,5,27.0,n5_cost_12_challenge,12.0,0.0,13,14.0,2.0,teacher,2.237637043010966,1.900001760713045,0.33763528229792117,14.66236471770208,True
3346517708,4.266666666666667,11.0,2.75,4.0,3.25,2.45,0.0,0.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,0.0,25,12,4.266666666666667,25.0,13.34180402889228,20.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,11.65819597110772,cost_12_upper_tail,10.648751129504443,14.729095798832178,True,10.726566291586384,14.702334658343252,True,5,25.0,n5_cost_12_challenge,11.0,0.0,13,12.0,1.0,teacher,2.036021452312812,1.900001760713045,0.1360196915997669,13.863980308400233,True
859189964,5.368627450980392,13.0,2.84375,4.0,2.647058823529412,3.066666666666667,0.0,1.0,1.0,3.0,6.0,7.0,5.0,5.0,4.0,1.0,27,12,5.368627450980392,27.0,15.34822613288572,21.63137254901961,0.0,0.0,0.0,14.0,189.0,14.0,11.65177386711428,cost_12_upper_tail,12.64938770961049,16.774651513497872,True,12.673656715229637,16.737538599541796,True,5,27.0,n5_cost_12_challenge,13.0,0.0,13,14.0,1.0,teacher,2.160817049133117,1.900001760713045,0.26081528842007184,13.739184711579927,True
4277242000,4.0,15.0,2.84375,4.0,3.0625,2.625,0.0,0.0,2.0,5.0,7.0,3.0,4.0,1.0,4.0,5.0,28,12,4.0,28.0,16.382301310790602,24.0,0.0,0.0,0.0,16.0,189.0,16.0,11.617698689209398,cost_12_upper_tail,13.795463874687195,17.895528193940827,False,13.922458372022287,17.777582322706653,False,5,28.0,n5_cost_12_challenge,12.0,0.0,13,15.0,3.0,teacher,1.4199843557659382,1.900001760713045,0.0,16.0,True
520946967,3.571428571428572,13.0,2.5,4.0,2.388888888888889,2.642857142857143,1.0,1.0,0.0,1.0,7.0,2.0,3.0,2.0,1.0,3.0,27,12,3.571428571428572,27.0,15.54050053228066,23.428571428571427,0.0,0.0,0.0,18.0,189.0,18.0,11.45949946771934,cost_12_upper_tail,12.664744727385113,17.00625923710996,True,13.056702191896342,16.9505822281871,False,5,27.0,n5_cost_12_challenge,9.0,0.0,13,14.0,5.0,teacher,2.802897248265267,1.900001760713045,0.9028954875522222,17.09710451244778,True
3743342384,4.266666666666667,11.0,2.71875,4.0,3.333333333333333,2.35,0.0,0.0,2.0,2.0,4.0,6.0,6.0,4.0,3.0,0.0,25,12,4.266666666666667,25.0,13.615836784441283,20.733333333333334,0.0,0.0,0.0,14.0,189.0,14.0,11.384163215558717,cost_12_upper_tail,10.973452754720082,15.02271107258059,True,11.019112477109893,14.99014113768212,True,5,25.0,n5_cost_12_challenge,11.0,0.0,13,12.0,1.0,teacher,2.215818910854685,1.900001760713045,0.31581715014164,13.68418284985836,True
1462766328,5.142857142857143,12.0,3.125,4.0,3.0,3.2857142857142856,0.0,1.0,1.0,1.0,4.0,6.0,6.0,4.0,3.0,0.0,26,12,5.142857142857143,26.0,14.631674365037902,20.857142857142858,0.0,0.0,0.0,16.0,189.0,16.0,11.368325634962098,cost_12_upper_tail,11.837174490249662,16.049944396238974,True,11.983203589098505,16.001845407770045,True,5,26.0,n5_cost_12_challenge,10.0,0.0,13,13.0,3.0,teacher,2.2481611231435643,1.900001760713045,0.34815936243051926,15.651840637569482,True
