model,truth_table,exact_minimum_gates,cohort,true_residual_slack,predicted_residual_slack,dangerous_residual
teacher,2968979447,12,cost_12_random_reference,1.0,2.900001760713045,1.900001760713045
teacher,85057467,12,cost_12_random_reference,3.0,4.64834198369249,1.6483419836924904
teacher,16519848,12,cost_12_upper_tail,1.0,2.5645716205812517,1.5645716205812517
teacher,2292891712,11,cost_11,0.0,1.5031886885295827,1.5031886885295827
teacher,1275109631,11,cost_11,0.0,1.4823851778051276,1.4823851778051276
teacher,3402235912,9,cost_9,0.0,1.3769812972569913,1.3769812972569913
teacher,2903351557,10,cost_10,0.0,1.3188183624409044,1.3188183624409044
teacher,4284284173,12,cost_12_random_reference,0.0,1.2909147425019591,1.2909147425019591
teacher,1482508876,12,cost_12_random_reference,1.0,2.28154695534864,1.2815469553486398
teacher,2947583994,12,cost_12_upper_tail,1.0,2.2382210587079756,1.2382210587079756
teacher,3743342384,12,cost_12_upper_tail,1.0,2.215818910854685,1.215818910854685
teacher,1403680672,12,cost_12_upper_tail,1.0,2.1818804273882417,1.1818804273882417
teacher,1415999078,12,cost_12_upper_tail,1.0,2.1777908499066307,1.1777908499066307
teacher,1156369868,12,cost_12_random_reference,1.0,2.1621085849945145,1.1621085849945145
teacher,859189964,12,cost_12_upper_tail,1.0,2.160817049133117,1.160817049133117
teacher,4067881548,12,cost_12_upper_tail,1.0,2.1564909396187444,1.1564909396187444
teacher,3437375538,11,cost_11,0.0,1.1275722028991204,1.1275722028991204
teacher,1381003818,12,cost_12_upper_tail,1.0,2.1060474203545843,1.1060474203545843
teacher,3221684327,12,cost_12_upper_tail,1.0,2.0814730741525707,1.0814730741525707
teacher,4010026820,12,cost_12_upper_tail,1.0,2.047664995826113,1.0476649958261128
teacher,3346517708,12,cost_12_upper_tail,1.0,2.036021452312812,1.036021452312812
teacher,13499901,9,cost_9,2.0,3.0248273114387305,1.0248273114387305
teacher,4091982574,12,cost_12_upper_tail,1.0,2.0107737703187265,1.0107737703187265
teacher,808563635,10,cost_10,1.0,1.9877988409940193,0.9877988409940193
teacher,100564940,12,cost_12_upper_tail,1.0,1.9748414012047486,0.9748414012047486
student,3402235912,9,cost_9,0.0,1.9291086303444553,1.9291086303444553
student,2292891712,11,cost_11,0.0,1.9291086303444553,1.9291086303444553
student,16519848,12,cost_12_upper_tail,1.0,2.7045865256933213,1.7045865256933213
student,4284284173,12,cost_12_random_reference,0.0,1.6961552421505335,1.6961552421505335
student,3437375538,11,cost_11,0.0,1.6961552421505335,1.6961552421505335
student,2903351557,10,cost_10,0.0,1.6961552421505335,1.6961552421505335
student,1275109631,11,cost_11,0.0,1.6961552421505335,1.6961552421505335
student,4278569988,5,cost_5,0.0,1.6636594523952206,1.6636594523952206
student,4277202432,4,cost_4,0.0,1.6636594523952206,1.6636594523952206
student,4288728192,4,cost_4,0.0,1.6636594523952206,1.6636594523952206
student,4042304000,5,cost_5,0.0,1.1730267504364844,1.1730267504364844
student,4283453520,4,cost_4,0.0,1.1730267504364844,1.1730267504364844
student,4089459456,5,cost_5,0.0,1.1730267504364844,1.1730267504364844
student,3840210421,6,cost_6,0.0,1.1730267504364844,1.1730267504364844
student,863436885,5,cost_5,0.0,1.1730267504364844,1.1730267504364844
student,2865539584,5,cost_5,0.0,1.1730267504364844,1.1730267504364844
student,4026594645,4,cost_4,0.0,1.1730267504364844,1.1730267504364844
student,5583735,4,cost_4,0.0,1.1730267504364844,1.1730267504364844
student,2290679688,4,cost_4,0.0,1.1730267504364844,1.1730267504364844
student,3993038574,4,cost_4,0.0,1.1730267504364844,1.1730267504364844
student,4007718624,3,cost_3,0.0,1.1730267504364844,1.1730267504364844
student,2968979447,12,cost_12_random_reference,1.0,1.9291086303444553,0.9291086303444553
student,2852146376,11,cost_11,1.0,1.9291086303444553,0.9291086303444553
student,3423390752,10,cost_10,1.0,1.9291086303444553,0.9291086303444553
student,859030464,9,cost_9,0.0,0.9287140360314226,0.9287140360314226
