truth_table,inputs,exact_minimum_gates,classical_lower_k_plus_1,existing_upper_k_plus_1,khrapchenko_product,decision_tree_leaf_count,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,anf_terms_degree_0,fourier_negative_degree_0,anf_terms_degree_1,fourier_negative_degree_1,anf_terms_degree_2,fourier_negative_degree_2,anf_terms_degree_3,fourier_negative_degree_3,anf_terms_degree_4,fourier_negative_degree_4,and_factorable_partitions,or_factorable_partitions,canalizing_variable_count,restriction_upper_k_plus_1,factor_upper_k_plus_1,classical_width,restriction_gain,factor_gain,construction_upper_k_plus_1,exact_k_plus_1,true_slack,predicted_residual_slack,learned_reduction_beyond_construction,refined_upper_k_plus_1,cohort,covered,violation,residual_slack,model,risk_stratum,predicted_residual_slack_v3,selective_reduction,selective_upper_k_plus_1,covered_v3
242615296,5,13,3.5217391304347827,17.0,3.5217391304347827,11.0,2.6875,4.0,2.1739130434782608,4.0,0.0,1.0,0.0,2.0,4.0,7.0,6.0,5.0,4.0,1.0,0.0,0.0,0.0,17.0,189.0,13.478260869565217,0.0,0.0,17.0,14,3.0,4.480524550536632,2.580522789823587,14.419477210176414,targeted,True,0.0,3.0,teacher,high,4.504927284719363,2.1442214151779977,14.855778584822001,True
387143157,5,13,3.2980392156862743,17.0,3.2980392156862743,11.0,2.625,3.0,3.0,2.294117647058824,1.0,0.0,1.0,0.0,3.0,4.0,2.0,6.0,5.0,3.0,0.0,0.0,0.0,16.0,189.0,13.701960784313728,1.0,0.0,16.0,14,3.0,4.160820436235209,2.260818675522164,13.739181324477835,targeted,False,0.2608186755221631,2.0,teacher,high,4.029293138205551,1.6685872686641856,14.331412731335814,True
336478207,5,13,3.404858299595141,18.0,3.404858299595141,11.0,2.65625,4.0,3.1538461538461537,2.3157894736842106,1.0,0.0,1.0,0.0,2.0,7.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,17.0,189.0,14.59514170040486,1.0,0.0,17.0,14,4.0,3.730904988860048,1.8309032281470023,15.169096771852995,targeted,True,0.0,3.0,teacher,high,3.375233670235788,1.0145278006944225,15.985472199305578,True
79970223,5,13,3.515625,18.0,3.515625,10.0,2.625,4.0,2.625,2.625,1.0,0.0,2.0,1.0,4.0,7.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,17.0,189.0,14.484375,1.0,0.0,17.0,14,4.0,3.2437799693021514,1.3437782085891063,15.656221791410893,targeted,True,0.0,3.0,teacher,medium,2.8021203342258127,0.6891732063034786,16.31082679369652,True
1329651709,5,13,3.2666666666666666,18.0,3.2666666666666666,11.0,2.53125,4.0,3.1666666666666665,2.15,1.0,0.0,2.0,2.0,5.0,3.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,17.0,189.0,14.733333333333334,1.0,0.0,17.0,14,4.0,3.1755086223872064,1.2755068616741614,15.72449313832584,targeted,True,0.0,3.0,teacher,high,3.0482599281238896,0.6875540585825242,16.312445941417476,True
3486336503,5,13,3.6406926406926408,22.0,3.6406926406926408,13.0,2.5625,4.0,3.1818181818181817,2.238095238095238,1.0,0.0,0.0,2.0,5.0,4.0,7.0,5.0,2.0,5.0,0.0,0.0,0.0,17.0,189.0,18.35930735930736,5.0,0.0,17.0,14,8.0,3.134716266140554,1.234714505427509,15.765285494572492,targeted,True,0.0,3.0,teacher,high,4.273029252427211,1.9123233828858455,15.087676617114155,True
4093677780,5,13,4.16017316017316,18.0,4.16017316017316,12.0,2.71875,4.0,2.238095238095238,3.636363636363636,0.0,1.0,2.0,3.0,6.0,4.0,5.0,6.0,2.0,4.0,0.0,0.0,0.0,17.0,189.0,13.83982683982684,1.0,0.0,17.0,14,4.0,3.131032590465976,1.2310308297529309,15.768969170247068,targeted,True,0.0,3.0,teacher,high,3.7125856699877007,1.3518798004463353,15.648120199553665,True
319891255,5,13,3.111111111111111,19.0,3.111111111111111,11.0,2.59375,4.0,2.2777777777777777,3.0,1.0,1.0,0.0,0.0,5.0,2.0,6.0,4.0,4.0,2.0,0.0,0.0,0.0,16.0,189.0,15.88888888888889,3.0,0.0,16.0,14,5.0,3.126794775525379,1.2267930148123338,14.773206985187668,targeted,True,0.0,2.0,teacher,high,3.1111996853255284,0.750493815784163,15.249506184215837,True
1409661375,5,13,4.803921568627451,31.0,4.803921568627451,14.0,3.0,4.0,2.8,3.176470588235294,1.0,0.0,0.0,0.0,6.0,4.0,5.0,5.0,4.0,5.0,0.0,0.0,0.0,18.0,189.0,26.19607843137255,13.0,0.0,18.0,14,17.0,3.1226391546639345,1.2226373939508894,16.77736260604911,targeted,True,0.0,4.0,teacher,high,3.298264899578014,0.9375590300366485,17.06244096996335,True
2937258263,5,13,4.063492063492063,25.0,4.063492063492063,13.0,3.03125,4.0,3.0,3.071428571428572,1.0,1.0,0.0,1.0,7.0,0.0,3.0,4.0,2.0,4.0,0.0,0.0,0.0,17.0,189.0,20.936507936507937,8.0,0.0,17.0,14,11.0,3.109949047722581,1.2099472870095358,15.790052712990464,targeted,True,0.0,3.0,teacher,high,3.9158715146809895,1.555165645139624,15.444834354860376,True
3356325687,5,13,4.803921568627451,23.0,4.803921568627451,12.0,2.90625,4.0,3.066666666666667,2.764705882352941,1.0,0.0,0.0,1.0,5.0,4.0,6.0,6.0,3.0,4.0,0.0,0.0,0.0,18.0,189.0,18.19607843137255,5.0,0.0,18.0,14,9.0,3.0838873666493964,1.1838856059363514,16.81611439406365,targeted,True,0.0,4.0,teacher,high,3.6366761084991115,1.275970238957746,16.724029761042253,True
3358969631,5,13,5.142857142857143,27.0,5.142857142857143,12.0,2.90625,4.0,3.2857142857142856,2.611111111111111,1.0,0.0,0.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,18.0,189.0,21.857142857142858,9.0,0.0,18.0,14,13.0,3.064207956309332,1.1642061955962868,16.835793804403714,targeted,True,0.0,4.0,teacher,high,3.473748921152426,1.1130430516110605,16.88695694838894,True
2094803968,5,13,3.890688259109312,17.0,3.890688259109312,11.0,2.65625,4.0,2.3157894736842106,3.1538461538461537,0.0,1.0,0.0,4.0,3.0,7.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,16.0,189.0,13.10931174089069,1.0,0.0,16.0,14,3.0,3.030814297103581,1.130812536390536,14.869187463609464,targeted,True,0.0,2.0,teacher,medium,2.755595692023525,0.642648564101191,15.35735143589881,True
72688679,5,13,3.6406926406926408,18.0,3.6406926406926408,11.0,2.71875,4.0,2.4285714285714284,3.272727272727273,1.0,1.0,2.0,0.0,6.0,4.0,5.0,5.0,2.0,2.0,0.0,0.0,0.0,17.0,189.0,14.359307359307358,1.0,0.0,17.0,14,4.0,3.022262064610492,1.122260303897447,15.877739696102552,targeted,True,0.0,3.0,teacher,medium,2.931528761436799,0.8185816335144649,16.181418366485534,True
813541900,5,13,4.587301587301587,18.0,4.587301587301587,13.0,3.0625,4.0,3.111111111111111,3.0,0.0,1.0,2.0,2.0,6.0,5.0,6.0,1.0,2.0,3.0,0.0,0.0,0.0,18.0,189.0,13.412698412698411,0.0,0.0,18.0,14,4.0,2.992038546463059,1.0920367857500135,16.907963214249985,targeted,True,0.0,4.0,teacher,high,3.728436789756727,1.3677309202153616,16.63226907978464,True
819988714,5,13,3.6406926406926408,18.0,3.6406926406926408,11.0,2.71875,4.0,2.4285714285714284,3.272727272727273,0.0,1.0,1.0,3.0,3.0,8.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,17.0,189.0,14.359307359307358,1.0,0.0,17.0,14,4.0,2.9421152234755428,1.0421134627624975,15.957886537237504,targeted,True,0.0,3.0,teacher,high,3.0157395350029415,0.655033665461576,16.344966334538423,True
6747328,5,13,4.714285714285714,26.0,4.714285714285714,12.0,2.90625,4.0,2.619047619047619,3.4545454545454546,0.0,1.0,0.0,2.0,5.0,6.0,4.0,5.0,3.0,2.0,0.0,0.0,0.0,16.0,189.0,21.285714285714285,10.0,0.0,16.0,14,12.0,2.9283001876052963,1.0282984268922513,14.97170157310775,targeted,True,0.0,2.0,teacher,medium,2.975725279050463,0.8627781511281287,15.13722184887187,True
