feature,mean_push_misses,mean_push_covered_controls,miss_minus_control_push
decision_tree_leaf_count,0.09869828761481363,-0.11169143348471,0.21038972109952364
anf_terms_degree_1,0.35938758679939936,0.1900271817976552,0.16936040500174415
anf_terms_degree_2,0.14630614577372603,0.052509947899918474,0.09379619787380755
fourier_negative_degree_2,0.0247960540185946,-0.03176169626742409,0.056557750286018685
khrapchenko_product,-0.015262540225433385,-0.051926884014281804,0.03666434378884842
anf_terms_degree_0,6.052242068147843e-05,-0.033725077080090426,0.0337855995007719
restriction_gain,-0.01324466034892291,-0.0335781676697916,0.020333507320868693
anf_terms_degree_4,0.0,-0.005927878804354747,0.005927878804354747
canalizing_variable_count,0.0,0.0,0.0
or_factorable_partitions,0.0,0.0,0.0
maximum_certificate_size,0.0,0.0,0.0
inputs,0.0,0.0,0.0
factor_gain,0.0,0.0,0.0
and_factorable_partitions,0.0,0.0,0.0
fourier_negative_degree_0,0.0,0.0,0.0
classical_width,0.0,0.0,0.0
anf_terms_degree_3,-0.0018676588382248542,0.0,-0.0018676588382248542
fourier_negative_degree_3,0.014469573867558946,0.021704360801338418,-0.007234786933779472
mean_certificate_size_output_1,-0.04593159932614547,-0.023933988353145752,-0.021997610972999716
fourier_negative_degree_4,-0.044591135399043504,0.0,-0.044591135399043504
mean_certificate_size,-0.07392496248153006,-0.02648350337767913,-0.04744145910385093
fourier_negative_degree_1,-0.04475875347032835,0.007163509223589326,-0.05192226269391768
mean_certificate_size_output_0,-0.013354640878787535,0.04276623944629543,-0.056120880325082965
