descriptor_class,functions,bias,influence_0,influence_1,influence_2,influence_3,fourier_energy_degree_0,fourier_energy_degree_1,fourier_energy_degree_2,fourier_energy_degree_3,fourier_energy_degree_4,algebraic_degree,input_symmetries,NAND_minimum,NAND_maximum,NAND_spread,NOR_minimum,NOR_maximum,NOR_spread,AND_OR_NOT_minimum,AND_OR_NOT_maximum,AND_OR_NOT_spread
0,1,-16,0,0,0,0,256,0,0,0,0,0,24,5,5,0,2,2,0,2,2,0
1,6,-14,2,2,2,2,196,16,24,16,4,4,4,10,10,0,7,7,0,4,4,0
2,8,-14,2,2,2,2,196,16,24,16,4,4,6,9,11,2,6,8,2,4,4,0
3,2,-14,2,2,2,2,196,16,24,16,4,4,24,8,14,6,5,11,6,3,4,1
4,24,-12,0,4,4,4,144,48,48,16,0,3,2,7,8,1,4,5,1,3,3,0
5,8,-12,0,4,4,4,144,48,48,16,0,3,6,6,10,4,3,7,4,2,3,1
6,4,-12,4,4,4,4,144,0,96,0,16,3,6,14,14,0,11,11,0,8,8,0
7,3,-12,4,4,4,4,144,0,96,0,16,3,8,12,12,0,9,9,0,8,8,0
8,1,-12,4,4,4,4,144,0,96,0,16,3,24,14,14,0,11,11,0,8,8,0
9,24,-12,4,4,4,4,144,16,48,48,0,3,2,11,13,2,8,10,2,7,7,0
10,8,-12,4,4,4,4,144,16,48,48,0,3,6,13,15,2,10,12,2,7,8,1
11,24,-12,4,4,4,4,144,32,32,32,16,3,2,11,12,1,8,9,1,6,7,1
12,24,-12,4,4,4,4,144,32,32,32,16,3,4,10,14,4,7,11,4,6,7,1
13,24,-10,2,2,6,6,100,80,56,16,4,4,1,9,9,0,6,6,0,5,5,0
14,48,-10,2,2,6,6,100,80,56,16,4,4,2,8,11,3,5,8,3,4,5,1
15,24,-10,2,2,6,6,100,80,56,16,4,4,4,7,10,3,4,7,3,3,4,1
16,48,-10,2,6,6,6,100,16,120,16,4,4,2,11,12,1,8,9,1,7,7,0
17,16,-10,2,6,6,6,100,16,120,16,4,4,6,11,14,3,8,11,3,7,8,1
18,96,-10,2,6,6,6,100,48,56,48,4,4,1,10,13,3,7,10,3,6,6,0
19,96,-10,2,6,6,6,100,48,56,48,4,4,2,10,14,4,7,11,4,6,7,1
20,24,-10,6,6,6,6,100,16,56,80,4,4,1,15,15,0,12,12,0,11,11,0
21,48,-10,6,6,6,6,100,16,56,80,4,4,2,13,16,3,10,13,3,10,12,2
22,24,-10,6,6,6,6,100,16,56,80,4,4,4,14,17,3,11,14,3,10,11,1
23,36,-10,6,6,6,6,100,16,88,16,36,4,2,14,16,2,11,13,2,9,10,1
24,6,-10,6,6,6,6,100,16,88,16,36,4,4,15,15,0,12,12,0,10,10,0
25,6,-10,6,6,6,6,100,16,88,16,36,4,8,15,17,2,12,14,2,10,11,1
26,48,-10,6,6,6,6,100,48,24,48,36,4,2,13,17,4,10,14,4,9,10,1
27,16,-10,6,6,6,6,100,48,24,48,36,4,6,13,18,5,10,15,5,9,9,0
28,12,-8,0,0,8,8,64,128,64,0,0,2,2,5,5,0,2,2,0,2,2,0
29,12,-8,0,0,8,8,64,128,64,0,0,2,4,3,6,3,1,3,2,1,2,1
30,12,-8,0,8,8,8,64,0,192,0,0,2,2,9,9,0,6,6,0,6,6,0
31,4,-8,0,8,8,8,64,0,192,0,0,2,6,11,11,0,8,8,0,6,6,0
32,48,-8,0,8,8,8,64,64,64,64,0,2,2,8,10,2,5,7,2,5,6,1
33,192,-8,4,4,4,8,64,96,64,32,0,3,1,8,11,3,5,8,3,5,6,1
34,48,-8,4,4,4,8,64,112,48,16,16,3,2,9,11,2,6,8,2,6,7,1
35,16,-8,4,4,4,8,64,112,48,16,16,3,6,8,12,4,7,9,2,5,6,1
36,48,-8,4,4,8,8,64,32,128,32,0,3,1,9,13,4,6,10,4,6,9,3
37,120,-8,4,4,8,8,64,32,128,32,0,3,2,8,13,5,5,10,5,6,10,4
38,24,-8,4,4,8,8,64,32,128,32,0,3,4,11,15,4,8,12,4,8,8,0
39,96,-8,4,4,8,8,64,48,112,16,16,3,1,11,13,2,8,10,2,7,8,1
40,96,-8,4,4,8,8,64,48,112,16,16,3,2,12,14,2,9,11,2,7,9,2
41,24,-8,4,4,8,8,64,64,64,64,0,3,1,12,12,0,9,9,0,9,9,0
42,48,-8,4,4,8,8,64,64,64,64,0,3,2,11,13,2,8,10,2,8,10,2
43,24,-8,4,4,8,8,64,64,64,64,0,3,4,12,15,3,9,12,3,8,9,1
44,96,-8,4,4,8,8,64,80,48,48,16,3,1,12,14,2,9,11,2,8,9,1
45,96,-8,4,4,8,8,64,80,48,48,16,3,2,10,14,4,7,11,4,7,8,1
46,96,-8,4,8,8,8,64,16,112,48,16,3,1,12,14,2,9,11,2,9,10,1
47,96,-8,4,8,8,8,64,16,112,48,16,3,2,12,16,4,9,13,4,9,11,2
48,192,-8,4,8,8,8,64,32,64,96,0,3,1,13,16,3,10,13,3,10,11,1
49,96,-8,4,8,8,8,64,48,48,80,16,3,1,13,16,3,10,13,3,10,11,1
50,96,-8,4,8,8,8,64,48,48,80,16,3,2,12,17,5,9,14,5,9,10,1
51,12,-8,8,8,8,8,64,0,64,128,0,2,2,17,17,0,14,14,0,13,13,0
52,12,-8,8,8,8,8,64,0,64,128,0,2,4,18,18,0,15,15,0,13,14,1
53,6,-8,8,8,8,8,64,0,128,0,64,2,4,14,14,0,11,11,0,9,9,0
54,6,-8,8,8,8,8,64,0,128,0,64,2,8,14,14,0,11,11,0,8,9,1
55,48,-8,8,8,8,8,64,16,48,112,16,3,2,17,19,2,14,16,2,13,15,2
56,16,-8,8,8,8,8,64,16,48,112,16,3,6,17,19,2,14,16,2,13,14,1
57,24,-8,8,8,8,8,64,32,64,32,64,3,1,17,17,0,14,14,0,13,13,0
58,72,-8,8,8,8,8,64,32,64,32,64,3,2,16,19,3,13,16,3,12,14,2
59,16,-8,8,8,8,8,64,64,0,64,64,2,6,16,19,3,13,16,3,12,13,1
60,6,-8,8,8,8,8,64,64,0,64,64,3,4,18,18,0,15,15,0,13,13,0
61,8,-8,8,8,8,8,64,64,0,64,64,3,6,17,20,3,14,17,3,13,14,1
62,2,-8,8,8,8,8,64,64,0,64,64,3,24,15,22,7,12,19,7,12,12,0
63,96,-6,2,2,6,10,36,144,56,16,4,4,1,6,8,2,4,6,2,4,5,1
64,96,-6,2,2,6,10,36,144,56,16,4,4,2,5,10,5,3,7,4,3,5,2
65,24,-6,2,2,10,10,36,80,120,16,4,4,1,10,10,0,8,8,0,6,6,0
66,48,-6,2,2,10,10,36,80,120,16,4,4,2,9,11,2,6,10,4,6,7,1
67,24,-6,2,2,10,10,36,80,120,16,4,4,4,8,13,5,5,11,6,6,7,1
68,96,-6,2,6,6,10,36,112,56,48,4,4,1,9,11,2,6,8,2,6,7,1
69,96,-6,2,6,6,10,36,112,56,48,4,4,2,9,13,4,6,10,4,6,7,1
70,96,-6,2,6,10,10,36,16,184,16,4,4,1,9,11,2,6,9,3,7,8,1
71,96,-6,2,6,10,10,36,16,184,16,4,4,2,10,13,3,8,10,2,7,9,2
72,96,-6,2,6,10,10,36,48,120,48,4,4,1,10,11,1,7,8,1,7,8,1
73,96,-6,2,6,10,10,36,48,120,48,4,4,2,10,12,2,8,9,1,7,9,2
74,96,-6,2,10,10,10,36,48,56,112,4,4,1,13,14,1,10,11,1,9,10,1
75,96,-6,2,10,10,10,36,48,56,112,4,4,2,12,16,4,9,13,4,9,10,1
76,144,-6,6,6,6,6,36,80,120,16,4,4,1,9,11,2,6,8,2,6,7,1
77,48,-6,6,6,6,6,36,80,120,16,4,4,2,9,12,3,7,9,2,6,8,2
