index,feature,status,family,language,importance_mean,importance_std
0,algebraic_degree,used,ANF,AND_OR_NOT,5.680350497236642e-05,5.488561571067611e-05
1,algebraic_degree,used,ANF,NAND,-6.856250421907461e-05,9.641685148607247e-05
2,algebraic_degree,used,ANF,NOR,-5.088493587188658e-05,0.00010970982526992419
3,and_factorable_partitions,new,factorability,AND_OR_NOT,1.1133423713727276e-06,3.351473802722852e-06
4,and_factorable_partitions,new,factorability,NAND,1.8258263169954047e-05,3.515464928356056e-05
5,and_factorable_partitions,new,factorability,NOR,5.330756259092351e-05,0.00012841562886039485
6,anf_terms_degree_0,new,ANF support,AND_OR_NOT,0.025157205465839362,0.0023869084778107468
7,anf_terms_degree_0,new,ANF support,NAND,0.007538919584365683,0.0014430166483123045
8,anf_terms_degree_0,new,ANF support,NOR,0.0034935214910059103,0.0015056074443086918
9,anf_terms_degree_1,new,ANF support,AND_OR_NOT,0.005960876914972571,0.0015487264176992264
10,anf_terms_degree_1,new,ANF support,NAND,0.09757046801502556,0.008529929575073831
11,anf_terms_degree_1,new,ANF support,NOR,0.037481331095846684,0.004539911673845093
12,anf_terms_degree_2,new,ANF support,AND_OR_NOT,0.002132620014859049,0.000495665656469875
13,anf_terms_degree_2,new,ANF support,NAND,0.020125885644338228,0.002422759456488529
14,anf_terms_degree_2,new,ANF support,NOR,0.010207452893591682,0.0014402795811649884
15,anf_terms_degree_3,new,ANF support,AND_OR_NOT,0.0011192559728411405,0.0003996262871370117
16,anf_terms_degree_3,new,ANF support,NAND,0.0005101922109493784,0.0004303467385046903
17,anf_terms_degree_3,new,ANF support,NOR,0.0012428771977837983,0.0006345618631562709
18,anf_terms_degree_4,new,ANF support,AND_OR_NOT,0.0,0.0
19,anf_terms_degree_4,new,ANF support,NAND,0.0,0.0
20,anf_terms_degree_4,new,ANF support,NOR,0.0,0.0
21,bias,used,output balance,AND_OR_NOT,-5.208362510716879e-06,5.660833497500705e-05
22,bias,used,output balance,NAND,0.0002001313885217876,0.00015053152269912343
23,bias,used,output balance,NOR,0.00014143439864809925,0.000178029530289986
24,canalizing_variable_count,new,restrictions,AND_OR_NOT,-2.7532552731024397e-07,5.576660005403064e-07
25,canalizing_variable_count,new,restrictions,NAND,0.0,0.0
26,canalizing_variable_count,new,restrictions,NOR,0.0,0.0
27,cofactor_orbit_diversity,new,restrictions,AND_OR_NOT,0.004977010744267321,0.0015087561560675014
28,cofactor_orbit_diversity,new,restrictions,NAND,0.0005535091536148007,0.0003000438197452863
29,cofactor_orbit_diversity,new,restrictions,NOR,0.0003004293274282116,0.0003218943668849933
30,constant_faces_codimension_1,new,restrictions,AND_OR_NOT,2.5293466892617464e-07,7.884676396104724e-07
31,constant_faces_codimension_1,new,restrictions,NAND,-1.0857522699775358e-06,3.7661200064300947e-06
32,constant_faces_codimension_1,new,restrictions,NOR,9.241265286896727e-08,3.339709718049836e-07
33,constant_faces_codimension_2,new,restrictions,AND_OR_NOT,0.0005365283355560607,0.00014723450728359197
34,constant_faces_codimension_2,new,restrictions,NAND,4.987606221353025e-05,0.0001201624395740435
35,constant_faces_codimension_2,new,restrictions,NOR,0.00018273691051689522,0.00011640010034133062
36,constant_faces_codimension_3,new,restrictions,AND_OR_NOT,0.00011725454962583647,6.133697780364157e-05
37,constant_faces_codimension_3,new,restrictions,NAND,8.79078147241641e-05,0.00012863245289471665
38,constant_faces_codimension_3,new,restrictions,NOR,2.2465106794367084e-05,0.00010444299520719302
39,decision_tree_depth,new,decision trees,AND_OR_NOT,0.00018059538029750188,0.00015764528291137766
40,decision_tree_depth,new,decision trees,NAND,5.952563731435878e-05,8.088031738251359e-05
41,decision_tree_depth,new,decision trees,NOR,-1.2201819259233249e-05,7.409626945748506e-05
42,decision_tree_leaf_count,new,decision trees,AND_OR_NOT,0.3829746679057774,0.040867364906665114
43,decision_tree_leaf_count,new,decision trees,NAND,0.1924225267718096,0.011101917475403076
44,decision_tree_leaf_count,new,decision trees,NOR,0.27385464158729367,0.02155294585967037
45,fourier_energy_degree_0,used,Fourier magnitude,AND_OR_NOT,0.00028095279085348925,0.00012994274424160587
46,fourier_energy_degree_0,used,Fourier magnitude,NAND,6.914359682439475e-05,7.869290074806645e-05
47,fourier_energy_degree_0,used,Fourier magnitude,NOR,0.00010809892858914538,0.00012860353990421997
48,fourier_energy_degree_1,used,Fourier magnitude,AND_OR_NOT,0.0007035089587673737,0.00028248853101302105
49,fourier_energy_degree_1,used,Fourier magnitude,NAND,0.0005519537273260655,0.0002368543528253842
50,fourier_energy_degree_1,used,Fourier magnitude,NOR,0.000703319415379347,0.0003896382546232208
51,fourier_energy_degree_2,used,Fourier magnitude,AND_OR_NOT,0.023405757308083832,0.002523538968934279
52,fourier_energy_degree_2,used,Fourier magnitude,NAND,0.004639522023841122,0.0012622158012064013
53,fourier_energy_degree_2,used,Fourier magnitude,NOR,0.006215924316105412,0.0022353673824250567
54,fourier_energy_degree_3,used,Fourier magnitude,AND_OR_NOT,0.00490730248134093,0.0016945482336793265
55,fourier_energy_degree_3,used,Fourier magnitude,NAND,0.0030434651214762075,0.0013186978580072683
56,fourier_energy_degree_3,used,Fourier magnitude,NOR,0.0040216824356373495,0.0011746107488660783
57,fourier_energy_degree_4,used,Fourier magnitude,AND_OR_NOT,0.003073956050237886,0.0009170970052550554
58,fourier_energy_degree_4,used,Fourier magnitude,NAND,0.0006055343698662813,0.00029551837077971654
59,fourier_energy_degree_4,used,Fourier magnitude,NOR,0.0045892929027193385,0.0010713898148179903
60,fourier_entropy,new,Fourier shape,AND_OR_NOT,7.994642718719969e-05,6.674151844957749e-05
61,fourier_entropy,new,Fourier shape,NAND,5.066246877050429e-05,6.18218500262721e-05
62,fourier_entropy,new,Fourier shape,NOR,0.00012644902836755345,0.00013127105387996188
63,fourier_l1_degree_0,new,Fourier shape,AND_OR_NOT,0.0,0.0
64,fourier_l1_degree_0,new,Fourier shape,NAND,0.0,0.0
65,fourier_l1_degree_0,new,Fourier shape,NOR,0.0,0.0
66,fourier_l1_degree_1,new,Fourier shape,AND_OR_NOT,0.00036067698350612245,0.00015396185304428838
67,fourier_l1_degree_1,new,Fourier shape,NAND,0.0005169297982327986,0.00027914390781924147
68,fourier_l1_degree_1,new,Fourier shape,NOR,-3.3599321564092846e-05,0.00022603238165599013
69,fourier_l1_degree_2,new,Fourier shape,AND_OR_NOT,0.0009064653341242096,0.00039798952157574946
70,fourier_l1_degree_2,new,Fourier shape,NAND,1.4649035630998064e-05,7.715965397212909e-05
71,fourier_l1_degree_2,new,Fourier shape,NOR,8.287633343837807e-05,0.0001861419486990837
72,fourier_l1_degree_3,new,Fourier shape,AND_OR_NOT,0.0007716166076394721,0.0004677751212895511
73,fourier_l1_degree_3,new,Fourier shape,NAND,0.0011842705886129733,0.0006502416077104978
74,fourier_l1_degree_3,new,Fourier shape,NOR,0.0010428686206796684,0.00043710402445090854
75,fourier_l1_degree_4,new,Fourier shape,AND_OR_NOT,0.0,0.0
76,fourier_l1_degree_4,new,Fourier shape,NAND,0.0,0.0
77,fourier_l1_degree_4,new,Fourier shape,NOR,0.0,0.0
78,fourier_negative_degree_0,new,Fourier phase,AND_OR_NOT,2.3743331845904603e-07,4.7612512688536655e-06
79,fourier_negative_degree_0,new,Fourier phase,NAND,7.124902560814994e-06,1.5682683529831765e-05
80,fourier_negative_degree_0,new,Fourier phase,NOR,3.912009215634171e-06,2.6595348086122038e-05
81,fourier_negative_degree_1,new,Fourier phase,AND_OR_NOT,0.007591533336515297,0.0013076159917355876
82,fourier_negative_degree_1,new,Fourier phase,NAND,0.008963575257996579,0.001214822326821554
83,fourier_negative_degree_1,new,Fourier phase,NOR,0.015858186729775382,0.0023850702553991107
84,fourier_negative_degree_2,new,Fourier phase,AND_OR_NOT,0.021581934022521346,0.0036536434101076586
85,fourier_negative_degree_2,new,Fourier phase,NAND,0.0015654601569161624,0.0006511547263214723
86,fourier_negative_degree_2,new,Fourier phase,NOR,0.012222238976929372,0.0019487512450114786
87,fourier_negative_degree_3,new,Fourier phase,AND_OR_NOT,0.006476629163289016,0.0010831603014994611
88,fourier_negative_degree_3,new,Fourier phase,NAND,0.00938279919886143,0.0018921636900713767
89,fourier_negative_degree_3,new,Fourier phase,NOR,0.035012351277633004,0.0032901804674285323
90,fourier_negative_degree_4,new,Fourier phase,AND_OR_NOT,0.016808943769605147,0.0026336142692842093
91,fourier_negative_degree_4,new,Fourier phase,NAND,0.009030220720859882,0.0018988261788717268
92,fourier_negative_degree_4,new,Fourier phase,NOR,0.023280852101546037,0.003640873184737907
93,fourier_zero_degree_0,new,Fourier shape,AND_OR_NOT,-2.079981566927014e-07,1.4109465148840787e-05
