truth_table,bias,influence_0,influence_1,influence_2,influence_3,fourier_energy_degree_0,fourier_energy_degree_1,fourier_energy_degree_2,fourier_energy_degree_3,fourier_energy_degree_4,algebraic_degree,input_symmetries,anf_terms_degree_0,fourier_l1_degree_0,fourier_negative_degree_0,fourier_zero_degree_0,anf_terms_degree_1,fourier_l1_degree_1,fourier_negative_degree_1,fourier_zero_degree_1,anf_terms_degree_2,fourier_l1_degree_2,fourier_negative_degree_2,fourier_zero_degree_2,anf_terms_degree_3,fourier_l1_degree_3,fourier_negative_degree_3,fourier_zero_degree_3,anf_terms_degree_4,fourier_l1_degree_4,fourier_negative_degree_4,fourier_zero_degree_4,sensitivity_variance,maximum_local_sensitivity,zero_conditional_sensitivity,one_conditional_sensitivity,khrapchenko_product,order_2_derivative_std,order_2_derivative_max,order_3_derivative_std,order_3_derivative_max,mean_certificate_size,maximum_certificate_size,mean_certificate_size_output_0,mean_certificate_size_output_1,constant_faces_codimension_1,constant_faces_codimension_2,constant_faces_codimension_3,decision_tree_depth,decision_tree_leaf_count,and_factorable_partitions,or_factorable_partitions,xor_factorable_partitions,prime_0_count,prime_0_mean_literals,prime_0_minimum_literals,prime_1_count,prime_1_mean_literals,prime_1_minimum_literals,one_region_components,zero_region_components,total_monochromatic_components,maximum_absolute_walsh,fourier_entropy,canalizing_variable_count,cofactor_orbit_diversity,target_NAND,target_NOR,target_AND_OR_NOT
0,-16,0,0,0,0,256,0,0,0,0,0,24,0,16,1,0,0,0,0,4,0,0,0,6,0,0,0,4,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8,24,32,0,1,0,0,0,1,0.0,0,0,0.0,0,0,1,1,16,-0.0,4,1,5,2,2
1,-14,2,2,2,2,196,16,24,16,4,4,24,1,14,1,0,4,8,0,0,6,12,0,0,4,8,0,0,1,2,0,0,1.0,4,0.26666666666666666,4.0,1.0666666666666667,0.0,0.125,0.0,0.125,1.1875,4,1.0,4.0,4,18,28,4,5,7,0,0,4,1.0,1,1,4.0,4,1,1,2,14,1.7012377755992936,4,2,14,5,4
2,-14,2,2,2,2,196,16,24,16,4,4,6,0,14,1,0,1,8,1,0,3,12,3,0,3,8,3,0,1,2,1,0,1.0,4,0.26666666666666666,4.0,1.0666666666666667,0.0,0.125,0.0,0.125,1.1875,4,1.0,4.0,4,18,28,4,5,7,0,0,4,1.0,1,1,4.0,4,1,1,2,14,1.7012377755992936,4,3,11,6,4
3,-12,0,4,4,4,144,48,48,16,0,3,6,1,12,1,0,3,12,0,1,3,12,0,3,1,4,0,3,0,0,0,1,0.9375,3,0.42857142857142855,3.0,1.2857142857142856,0.0,0.25,0.0,0.25,1.25,3,1.0,3.0,3,15,26,3,4,6,0,0,3,1.0,1,1,3.0,3,1,1,2,12,2.216917186688699,3,3,10,3,3
4,-14,2,2,2,2,196,16,24,16,4,4,6,0,14,1,0,1,8,1,0,3,12,3,0,3,8,3,0,1,2,1,0,1.0,4,0.26666666666666666,4.0,1.0666666666666667,0.0,0.125,0.0,0.125,1.1875,4,1.0,4.0,4,18,28,4,5,7,0,0,4,1.0,1,1,4.0,4,1,1,2,14,1.7012377755992936,4,3,11,6,4
5,-12,0,4,4,4,144,48,48,16,0,3,6,1,12,1,0,3,12,0,1,3,12,0,3,1,4,0,3,0,0,0,1,0.9375,3,0.42857142857142855,3.0,1.2857142857142856,0.0,0.25,0.0,0.25,1.25,3,1.0,3.0,3,15,26,3,4,6,0,0,3,1.0,1,1,3.0,3,1,1,2,12,2.216917186688699,3,3,10,3,3
6,-12,4,4,4,4,144,32,32,32,16,3,4,0,12,1,0,2,8,0,2,4,8,1,4,2,8,2,2,0,4,1,0,1.75,4,0.5714285714285714,4.0,2.2857142857142856,0.093169499062,0.25,0.0,0.25,1.5,4,1.1428571428571428,4.0,2,13,24,4,6,3,0,0,4,1.5,1,2,4.0,4,2,1,3,12,2.216917186688699,2,4,14,7,6
7,-10,2,2,6,6,100,80,56,16,4,4,4,1,10,1,0,2,16,0,0,2,16,1,0,2,8,2,0,1,2,1,0,1.0,3,0.6153846153846154,2.6666666666666665,1.641025641025641,0.093169499062,0.375,0.0,0.375,1.4375,3,1.0769230769230769,3.0,2,12,24,4,5,3,0,0,3,1.3333333333333333,1,2,3.0,3,1,1,2,10,2.848681565885773,2,4,10,4,4
8,-14,2,2,2,2,196,16,24,16,4,4,4,0,14,1,0,0,8,2,0,1,12,4,0,2,8,2,0,1,2,0,0,1.0,4,0.26666666666666666,4.0,1.0666666666666667,0.0,0.125,0.0,0.125,1.1875,4,1.0,4.0,4,18,28,4,5,7,0,0,4,1.0,1,1,4.0,4,1,1,2,14,1.7012377755992936,4,3,10,7,4
9,-12,4,4,4,4,144,32,32,32,16,3,4,1,12,1,0,4,8,0,2,5,8,0,4,2,8,0,2,0,4,0,0,1.75,4,0.5714285714285714,4.0,2.2857142857142856,0.093169499062,0.25,0.0,0.25,1.5,4,1.1428571428571428,4.0,2,13,24,4,6,3,0,0,4,1.5,1,2,4.0,4,2,1,3,12,2.216917186688699,2,4,14,8,7
