language,fold,test_descriptor_classes,r2
NAND,0,792,0.9596936051516582
NAND,1,792,0.9528306671069935
NAND,2,792,0.9620998398946518
NAND,3,791,0.9597334910611779
NAND,4,791,0.9505877172261704
NOR,0,792,0.9509569362178468
NOR,1,792,0.9436561031364262
NOR,2,792,0.9533782844639179
NOR,3,791,0.9518721757740912
NOR,4,791,0.9334288497122204
AND_OR_NOT,0,792,0.9750440892850913
AND_OR_NOT,1,792,0.9709545207050697
AND_OR_NOT,2,792,0.9757749633041192
AND_OR_NOT,3,791,0.9766715525407642
AND_OR_NOT,4,791,0.9674501139780949
