descriptor_class,left_truth_table,right_truth_table,left_truth_table_hex,right_truth_table_hex,parity_variable_mask,parity_order,left_anf_linear_count,right_anf_linear_count,NAND_left,NAND_right,NAND_absolute_difference,NOR_left,NOR_right,NOR_absolute_difference,AND_OR_NOT_left,AND_OR_NOT_right,AND_OR_NOT_absolute_difference,maximum_language_difference
102,286,26760,0x011e,0x6888,15,4,4,0,19,12,7,9,17,8,10,10,0,8
102,310,26784,0x0136,0x68a0,15,4,4,0,19,12,7,9,17,8,10,10,0,8
102,342,26816,0x0156,0x68c0,15,4,4,0,19,12,7,9,17,8,10,10,0,8
102,790,27264,0x0316,0x6a80,15,4,4,0,19,12,7,9,17,8,10,10,0,8
102,1302,27776,0x0516,0x6c80,15,4,4,0,19,12,7,9,17,8,10,10,0,8
102,4374,30848,0x1116,0x7880,15,4,4,0,19,12,7,9,17,8,10,10,0,8
597,34687,61161,0x877f,0xeee9,15,4,0,4,9,17,8,19,12,7,10,10,0,8
597,37759,64233,0x937f,0xfae9,15,4,0,4,9,17,8,19,12,7,10,10,0,8
597,38271,64745,0x957f,0xfce9,15,4,0,4,9,17,8,19,12,7,10,10,0,8
597,38719,65193,0x973f,0xfea9,15,4,0,4,9,17,8,19,12,7,10,10,0,8
597,38751,65225,0x975f,0xfec9,15,4,0,4,9,17,8,19,12,7,10,10,0,8
597,38775,65249,0x9777,0xfee1,15,4,0,4,9,17,8,19,12,7,10,10,0,8
62,278,26752,0x0116,0x6880,15,4,4,0,22,15,7,12,19,7,12,12,0,7
646,38783,65257,0x977f,0xfee9,15,4,0,4,12,19,7,22,15,7,12,12,0,7
170,854,27328,0x0356,0x6ac0,15,4,4,0,15,9,6,9,15,6,8,8,0,6
170,1334,27808,0x0536,0x6ca0,15,4,4,0,15,9,6,9,15,6,8,8,0,6
170,4382,30856,0x111e,0x7888,15,4,4,0,15,9,6,9,15,6,8,8,0,6
374,3817,26767,0x0ee9,0x688f,3,2,4,2,19,13,6,13,19,6,13,13,0,6
374,13033,26803,0x32e9,0x68b3,5,2,4,2,19,13,6,13,19,6,13,13,0,6
374,15913,27523,0x3e29,0x6b83,9,2,4,2,19,13,6,13,19,6,13,13,0,6
374,21737,26837,0x54e9,0x68d5,6,2,4,2,19,13,6,13,19,6,13,13,0,6
374,24137,28037,0x5e49,0x6d85,10,2,4,2,19,13,6,13,19,6,13,13,0,6
374,30305,31121,0x7661,0x7991,12,2,4,2,19,13,6,13,19,6,13,13,0,6
376,7905,30855,0x1ee1,0x7887,3,2,4,2,21,15,6,15,21,6,14,14,0,6
376,14025,27795,0x36c9,0x6c93,5,2,4,2,21,15,6,15,21,6,14,14,0,6
376,15465,27075,0x3c69,0x69c3,9,2,4,2,21,15,6,15,21,6,14,14,0,6
376,22185,27285,0x56a9,0x6a95,6,2,4,2,21,15,6,15,21,6,14,14,0,6
376,23145,27045,0x5a69,0x69a5,10,2,4,2,21,15,6,15,21,6,14,14,0,6
376,26217,27033,0x6669,0x6999,12,2,4,2,21,15,6,15,21,6,14,14,0,6
526,34679,61153,0x8777,0xeee1,15,4,0,4,9,15,6,15,9,6,8,8,0,6
526,37727,64201,0x935f,0xfac9,15,4,0,4,9,15,6,15,9,6,8,8,0,6
526,38207,64681,0x953f,0xfca9,15,4,0,4,9,15,6,15,9,6,8,8,0,6
541,26815,65065,0x68bf,0xfe29,7,3,1,4,12,18,6,19,14,5,14,13,1,6
541,26847,65097,0x68df,0xfe49,7,3,1,4,12,18,6,19,14,5,14,13,1,6
541,26871,65121,0x68f7,0xfe61,7,3,1,4,12,18,6,19,14,5,14,13,1,6
541,27535,62185,0x6b8f,0xf2e9,11,3,1,4,12,18,6,19,14,5,14,13,1,6
541,27571,52969,0x6bb3,0xcee9,13,3,1,4,12,18,6,19,14,5,14,13,1,6
541,28047,62697,0x6d8f,0xf4e9,11,3,1,4,12,18,6,19,14,5,14,13,1,6
541,28117,44777,0x6dd5,0xaee9,14,3,1,4,12,18,6,19,14,5,14,13,1,6
541,28551,63201,0x6f87,0xf6e1,11,3,1,4,12,18,6,19,14,5,14,13,1,6
541,31155,56553,0x79b3,0xdce9,13,3,1,4,12,18,6,19,14,5,14,13,1,6
541,31189,47849,0x79d5,0xbae9,14,3,1,4,12,18,6,19,14,5,14,13,1,6
541,31635,57033,0x7b93,0xdec9,13,3,1,4,12,18,6,19,14,5,14,13,1,6
541,32149,48809,0x7d95,0xbea9,14,3,1,4,12,18,6,19,14,5,14,13,1,6
50,282,42048,0x011a,0xa440,13,3,3,0,17,12,5,9,13,4,9,9,0,5
50,284,49696,0x011c,0xc220,14,3,3,0,17,12,5,9,13,4,9,9,0,5
50,294,38976,0x0126,0x9840,11,3,3,0,17,12,5,9,13,4,9,9,0,5
50,308,49672,0x0134,0xc208,14,3,3,0,17,12,5,9,13,4,9,9,0,5
50,326,38944,0x0146,0x9820,11,3,3,0,17,12,5,9,13,4,9,9,0,5
50,338,41992,0x0152,0xa408,13,3,3,0,17,12,5,9,13,4,9,9,0,5
50,534,38016,0x0216,0x9480,7,3,3,0,17,12,5,9,13,4,9,9,0,5
50,788,49192,0x0314,0xc028,14,3,3,0,17,12,5,9,13,4,9,9,0,5
50,1046,37504,0x0416,0x9280,7,3,3,0,17,12,5,9,13,4,9,9,0,5
50,1298,41032,0x0512,0xa048,13,3,3,0,17,12,5,9,13,4,9,9,0,5
50,4118,34432,0x1016,0x8680,7,3,3,0,17,12,5,9,13,4,9,9,0,5
50,4358,34912,0x1106,0x8860,11,3,3,0,17,12,5,9,13,4,9,9,0,5
157,318,26792,0x013e,0x68a8,15,4,4,0,17,12,5,11,15,4,10,10,0,5
157,350,26824,0x015e,0x68c8,15,4,4,0,17,12,5,11,15,4,10,10,0,5
157,374,26848,0x0176,0x68e0,15,4,4,0,17,12,5,11,15,4,10,10,0,5
