check,setting,language,r2,rmse
k,3,NAND,0.7782559581999903,1.5025723291738384
k,3,NOR,0.7782559581999903,1.5025723291738384
k,3,AND_OR_NOT,0.8450254411775269,1.0257535178426782
k,5,NAND,0.7778843074558038,1.5038309838095032
k,5,NOR,0.7778843074558038,1.5038309838095034
k,5,AND_OR_NOT,0.8446165266976761,1.027105898348092
k,7,NAND,0.7774400003681644,1.5053343196443847
k,7,NOR,0.7774400003681644,1.5053343196443847
k,7,AND_OR_NOT,0.8434760618263971,1.0308683212046166
k,11,NAND,0.777262616928478,1.5059340864402702
k,11,NOR,0.777262616928478,1.5059340864402702
k,11,AND_OR_NOT,0.8444787264618334,1.027561236570735
k,15,NAND,0.7734482601742774,1.5187738397507757
k,15,NOR,0.7734482601742774,1.5187738397507757
k,15,AND_OR_NOT,0.8405522510952905,1.0404518981166164
scaling,function_weighted_zscore,NAND,0.7774400003681644,1.5053343196443847
scaling,function_weighted_zscore,NOR,0.7774400003681644,1.5053343196443847
scaling,function_weighted_zscore,AND_OR_NOT,0.8434760618263971,1.0308683212046166
scaling,descriptor_weighted_zscore,NAND,0.8146475225970533,1.373752844527835
scaling,descriptor_weighted_zscore,NOR,0.8146475225970533,1.3737528445278349
scaling,descriptor_weighted_zscore,AND_OR_NOT,0.8356278709031791,1.0563963719282565
scaling,robust_median_iqr,NAND,0.8061207024527888,1.4049961231936365
scaling,robust_median_iqr,NOR,0.8061207024527888,1.4049961231936365
scaling,robust_median_iqr,AND_OR_NOT,0.8438474411031931,1.0296446409939444
