language,model,features,position_r2_mean,position_r2_std,gate_count_r2_mean,gate_count_r2_std
AND_OR_NOT,algebraic + phase,10,0.3275941698622421,0.0325315965741045,0.8793534306631035,0.008498276620309326
AND_OR_NOT,all corrections,14,0.617699443510563,0.01613553668451148,0.9276785252112919,0.005386805118243812
AND_OR_NOT,bracket coordinates,2,0.41027090848577397,0.029045577121897717,0.8920778341603949,0.008708004345848262
AND_OR_NOT,certificates,4,0.42551895924884375,0.016773760231303343,0.8932074477362143,0.007605881151455073
AND_OR_NOT,compact sandwich,16,0.7255324381613694,0.012076394859423334,0.9502343473961135,0.0024765605950139904
AND_OR_NOT,fixed midpoint,0,-3.4565467619930947,0.16837715123079872,0.1626484228804102,0.046606981967400866
NAND,algebraic + phase,10,0.5565982112042395,0.03789234856602298,0.8814954045931435,0.01020037112235464
NAND,all corrections,14,0.7569031837007799,0.020270231195776176,0.9333922377551851,0.003711637913263298
NAND,bracket coordinates,2,0.1553987353615887,0.027806014450077157,0.7785184454211127,0.020352091777281665
NAND,certificates,4,0.5163490522301504,0.033113229779580144,0.8702541145628239,0.006950345210746742
NAND,compact sandwich,16,0.796026194523172,0.021275574970805337,0.9458371839522132,0.003371040080444352
NAND,fixed midpoint,0,-0.0467863230171647,0.01419946346105504,0.7299028959024761,0.02263570678143549
NOR,algebraic + phase,10,0.39875834666595333,0.011892163035427271,0.8379714307799349,0.00841227205116145
NOR,all corrections,14,0.7129921721159407,0.012168400901872748,0.9218250639504983,0.004925733639783395
NOR,bracket coordinates,2,0.15604527359140496,0.0195660362030257,0.7788594070202643,0.015112756455809798
NOR,certificates,4,0.5118393802584842,0.022304023159405478,0.8689067994542183,0.007937557899187564
NOR,compact sandwich,16,0.7376573119589909,0.007178275875208528,0.9297200068413016,0.004735398693215392
NOR,fixed midpoint,0,-0.04667064224714319,0.01768087181383221,0.7299924196777734,0.016687034621382858
